年,男女別,総数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100歳以上
昭和10年,男,360388,10124,8592,9222,8894,8758,8092,8241,7973,8122,7749,7542,6727,6989,7051,7534,8144,6972,7073,7346,7665,7470,6814,6869,7194,7142,6911,6746,6454,6456,5962,6013,6124,6079,5914,5964,5403,5211,5239,4975,4801,4722,4500,4068,4234,3653,3906,3768,3673,3461,3002,2940,2756,2604,2659,2436,2353,2217,2127,1912,1899,1721,1454,1420,1221,1024,874,877,927,764,637,675,575,450,379,283,304,244,239,204,157,142,97,77,61,36,30,28,12,8,11,7,6,1,0,1,0,0,0,1,0,0
昭和10年,女,343902,9947,8490,8935,8642,8741,8228,8175,7499,8065,7651,7400,6711,7031,7006,7246,7781,6811,7010,6970,7088,7212,7363,7053,6954,6795,6766,6706,6298,6026,5016,5493,5183,5379,5297,5242,5006,4446,4433,4272,4034,3781,3795,3365,3311,3009,3069,3241,3051,2830,2658,2500,2568,2510,2450,2298,2240,2179,2084,1959,2008,1743,1580,1436,1358,1136,979,1047,1257,903,897,856,794,592,531,467,452,375,385,329,328,276,242,153,115,102,71,54,56,25,14,17,10,4,4,2,3,0,0,2,0,0
昭和22年,総数,814379,25833,14673,16309,20045,19878,19810,18859,17165,14464,14855,15447,16452,16150,14961,16183,16333,17035,17069,17950,17681,18328,17899,17725,15196,14973,14485,14150,14256,12652,12684,12714,12619,12978,13123,12137,11613,11660,11374,10892,10432,10398,9093,9578,9219,9403,9292,9427,8785,8051,7778,7511,6982,6849,6551,5901,5821,5011,5274,5249,4744,4557,3769,3618,3424,3162,2975,2939,2552,2453,2291,1906,1897,1627,1344,1133,898,727,542,483,502,362,316,273,207,104,82,75,70,39,30,20,16,10,10,1,5,0,0,1,0,0
昭和22年,男,417193,13401,7468,8289,10250,10210,10083,9772,8715,7246,7507,7801,8310,8031,7391,8255,8430,8740,8965,9696,9821,10313,9736,9416,7869,7405,6928,6934,6691,6159,6305,6331,6414,6534,6828,6268,5982,5951,5796,5549,5255,5500,5030,5155,4964,5004,4979,5002,4728,4292,4134,4020,3720,3781,3500,3162,3119,2685,2761,2638,2488,2331,1850,1750,1603,1375,1333,1309,1117,1059,995,761,776,643,541,441,316,261,195,167,172,121,110,82,60,30,22,18,19,10,8,4,3,2,1,0,1,0,0,0,0,0
昭和22年,女,397186,12432,7205,8020,9795,9668,9727,9087,8450,7218,7348,7646,8142,8119,7570,7928,7903,8295,8104,8254,7860,8015,8163,8309,7327,7568,7557,7216,7565,6493,6379,6383,6205,6444,6295,5869,5631,5709,5578,5343,5177,4898,4063,4423,4255,4399,4313,4425,4057,3759,3644,3491,3262,3068,3051,2739,2702,2326,2513,2611,2256,2226,1919,1868,1821,1787,1642,1630,1435,1394,1296,1145,1121,984,803,692,582,466,347,316,330,241,206,191,147,74,60,57,51,29,22,16,13,8,9,1,4,0,0,1,0,0
昭和25年,総数,951189,25427,27591,27847,26545,16205,17937,21946,21689,21525,20789,18689,15674,16245,16726,17824,18128,17315,18523,19041,20536,20162,20560,20223,20448,20193,19387,16965,16464,15597,15198,15364,13277,13467,13466,13705,13700,13990,12916,12407,11984,11664,11336,10775,10633,9135,9803,9316,9659,9413,9400,8488,7854,7831,7515,6955,6708,6407,5774,5899,5030,5355,5137,4721,4381,3681,3444,3303,3120,2817,2642,2410,2323,2103,1764,1689,1300,1118,960,784,592,463,421,367,234,200,170,123,71,49,30,28,14,16,10,5,4,7,0,1,0,0
昭和25年,男,480242,13151,14041,14214,13648,8244,8983,11107,11041,10936,10625,9371,7796,8203,8521,9018,9172,8797,9591,9879,10847,10900,11214,10978,10961,10545,9856,8415,7710,7148,7071,7001,6206,6390,6427,6785,6814,7039,6535,6188,6025,5897,5633,5411,5496,4867,5153,4940,5066,4911,4868,4342,4158,4094,3872,3660,3575,3320,3032,3119,2580,2691,2512,2381,2203,1764,1576,1505,1320,1198,1094,1021,921,883,653,666,490,439,360,282,195,158,140,114,70,63,45,33,16,7,7,5,3,3,1,1,0,0,0,0,0,0
昭和25年,女,470947,12276,13550,13633,12897,7961,8954,10839,10648,10589,10164,9318,7878,8042,8205,8806,8956,8518,8932,9162,9689,9262,9346,9245,9487,9648,9531,8550,8754,8449,8127,8363,7071,7077,7039,6920,6886,6951,6381,6219,5959,5767,5703,5364,5137,4268,4650,4376,4593,4502,4532,4146,3696,3737,3643,3295,3133,3087,2742,2780,2450,2664,2625,2340,2178,1917,1868,1798,1800,1619,1548,1389,1402,1220,1111,1023,810,679,600,502,397,305,281,253,164,137,125,90,55,42,23,23,11,13,9,4,4,7,0,1,0,0
昭和30年,総数,1143687,19766,19824,20412,22132,23945,26770,29213,30006,28549,17313,19294,23699,23414,23244,22517,21103,19107,20157,21724,24681,24985,23676,24835,24751,25144,24225,24260,23609,23239,22387,21395,18629,17705,16897,16338,16494,14023,14174,14292,14541,14457,14574,13427,13029,12566,12213,11743,10952,10980,9273,9971,9486,9761,9416,9328,8494,7855,7598,7379,6727,6457,6073,5498,5448,4613,4786,4667,4152,3767,3148,2995,2735,2561,2270,2050,1796,1641,1444,1221,1068,827,641,511,440,297,238,184,157,92,67,39,37,16,9,7,1,5,2,3,0,1
昭和30年,男,579774,10169,10061,10473,11392,12326,13801,14882,15408,14626,8775,9685,12016,11870,11751,11485,10667,9750,10508,11439,13420,13733,13047,13561,13289,13190,12600,12644,12482,12124,11465,10721,9079,8282,7736,7556,7537,6512,6633,6863,7168,7189,7340,6770,6485,6344,6198,5797,5515,5593,4876,5134,4984,4985,4836,4775,4240,4043,3891,3754,3432,3315,3033,2760,2772,2335,2294,2196,2010,1785,1399,1297,1169,1008,917,786,699,597,570,426,384,281,224,175,130,73,66,44,42,26,19,8,7,3,1,1,0,1,1,0,0,0
