年,男女別,総数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100歳以上
昭和53年,男,1387241,22515,23059,23462,25588,26836,26323,25765,25178,24163,23578,23716,16853,21640,19646,18088,17335,16975,16566,16967,19906,19595,23395,24525,24780,25226,27075,28507,30664,34366,33460,34196,23032,21851,25948,28386,26843,27354,25703,22477,22051,23722,22509,23514,20370,21032,20318,19191,18563,17216,17364,15956,15546,14777,12537,10908,9620,9584,9085,8278,7673,7889,7899,7914,7823,7170,6559,6300,5804,5317,4902,4741,3702,3797,3398,3256,2930,2681,2147,1970,1609,1436,1106,1004,786,567,494,356,306,227,177,97,74,56,25,34,5,11,5,0,5,2
昭和53年,女,1318093,20856,21977,22478,24627,25424,24989,24960,24153,22739,22098,22515,16078,20706,18668,17254,16502,15856,15316,15495,17725,16579,17394,18060,18655,20172,22853,24598,27231,31663,31690,32025,21724,20746,25299,27199,25897,26287,24386,20809,19794,22251,20943,21663,18976,19559,18645,18061,16913,16319,15670,14462,14161,14104,12316,11857,11241,11151,10721,9633,8666,8813,8605,8507,8338,7830,7453,6925,6745,6466,5590,5806,4012,4851,4111,4144,3930,3633,3252,2917,2450,2297,1869,1596,1395,1167,924,649,638,509,390,286,202,145,100,68,43,39,13,12,6,6
昭和54年,総数,2740959,41204,42625,44450,45312,49439,51825,50934,50229,49090,46579,45468,46053,32825,42328,38330,35412,34072,32897,33924,37728,38229,36743,41035,43604,44335,46370,50338,53270,57741,65844,64638,65843,44274,42203,50859,55115,52375,53175,49710,43052,41727,45807,43339,45199,39351,40588,38908,37217,35409,33486,32986,30306,29569,28808,24768,22670,20786,20576,19730,17765,16218,16571,16344,16200,15978,14832,13839,13072,12295,11590,10324,10316,7523,8368,7270,7148,6544,6026,5080,4552,3749,3404,2715,2336,1913,1539,1210,855,828,594,450,279,204,160,94,83,33,39,14,8,14
昭和54年,男,1404656,21237,22111,22805,23107,25215,26589,26035,25525,25075,24025,23479,23621,16812,21623,19637,18097,17443,17002,17731,20079,20471,20177,23559,25065,25099,25394,27032,28466,30476,34199,33154,33972,22749,21617,25759,28093,26658,27045,25470,22295,21958,23574,22383,23521,20358,20972,20286,19145,18532,17172,17328,15876,15460,14710,12488,10846,9558,9515,9045,8184,7571,7819,7823,7770,7699,7046,6428,6189,5621,5211,4770,4576,3597,3638,3283,3100,2749,2534,1965,1807,1432,1288,990,880,674,493,412,293,272,159,126,68,45,48,15,30,4,9,4,1,4
昭和54年,女,1336303,19967,20514,21645,22205,24224,25236,24899,24704,24015,22554,21989,22432,16013,20705,18693,17315,16629,15895,16193,17649,17758,16566,17476,18539,19236,20976,23306,24804,27265,31645,31484,31871,21525,20586,25100,27022,25717,26130,24240,20757,19769,22233,20956,21678,18993,19616,18622,18072,16877,16314,15658,14430,14109,14098,12280,11824,11228,11061,10685,9581,8647,8752,8521,8430,8279,7786,7411,6883,6674,6379,5554,5740,3926,4730,3987,4048,3795,3492,3115,2745,2317,2116,1725,1456,1239,1046,798,562,556,435,324,211,159,112,79,53,29,30,10,7,10
昭和55年,総数,2770994,39916,40477,42052,43711,44648,48891,51175,50523,49831,48830,46353,45242,45920,32804,42252,38372,35616,34155,34898,39185,38230,38694,37095,41778,44592,45090,46643,50379,53012,57436,65494,64004,65244,43937,41750,50445,54575,51889,52768,49176,42759,41520,45626,43234,45018,39268,40408,38761,37075,35212,33343,32803,30180,29406,28633,24645,22509,20641,20419,19614,17578,16047,16403,16205,16021,15786,14582,13620,12822,12041,11347,10021,10003,7294,8102,7030,6848,6217,5678,4786,4272,3472,3136,2489,2087,1704,1341,1047,707,682,483,364,223,166,134,75,66,27,29,13,14
昭和55年,男,1418826,20753,20827,21801,22380,22829,24949,26227,25805,25313,24943,23933,23329,23579,16811,21584,19634,18201,17497,18249,20995,20569,21006,20404,23947,25423,25138,25253,26833,28161,30308,33929,32803,33636,22539,21359,25473,27726,26320,26739,25149,22044,21828,23504,22299,23391,20274,20854,20172,19017,18389,17075,17179,15795,15342,14589,12399,10724,9444,9390,8941,8044,7445,7698,7720,7657,7569,6869,6280,6015,5455,5052,4580,4395,3462,3489,3138,2928,2577,2352,1816,1658,1315,1156,883,757,580,411,340,235,227,125,100,53,36,39,14,25,5,8,5,5
昭和55年,女,1352168,19163,19650,20251,21331,21819,23942,24948,24718,24518,23887,22420,21913,22341,15993,20668,18738,17415,16658,16649,18190,17661,17688,16691,17831,19169,19952,21390,23546,24851,27128,31565,31201,31608,21398,20391,24972,26849,25569,26029,24027,20715,19692,22122,20935,21627,18994,19554,18589,18058,16823,16268,15624,14385,14064,14044,12246,11785,11197,11029,10673,9534,8602,8705,8485,8364,8217,7713,7340,6807,6586,6295,5441,5608,3832,4613,3892,3920,3640,3326,2970,2614,2157,1980,1606,1330,1124,930,707,472,455,358,264,170,130,95,61,41,22,21,8,9
昭和55年国勢調査,総数,2773674,38520,39451,40544,41938,43555,45981,48991,50658,50032,49401,47664,46541,44366,44074,34833,41129,37716,35628,39017,42384,41670,40828,38927,37555,39730,41601,42114,44814,49371,52739,57686,63050,63901,61685,38768,42997,52485,52031,52901,51009,47144,41074,42833,43610,44226,42608,39227,39676,37626,36675,34426,32893,31542,30321,28947,27271,23334,21665,20623,19554,19800,16199,16057,15998,15975,15641,15287,13949,13211,12205,11534,10808,9775,9105,7389,7351,6632,6471,5618,5152,4356,3687,3065,2711,2147,1758,1423,1059,807,582,491,362,256,182,113,70,40,19,18,6,11
昭和55年国勢調査,男,1417015,19757,20458,20794,21658,22325,23608,25082,26065,25573,24996,24475,23985,22931,22654,17769,21132,19293,18396,20680,23266,22810,22718,21647,20931,22012,22673,22498,23537,25877,27755,30017,32563,32615,31645,19931,21793,26571,26293,26800,25951,24118,21087,22286,22473,22729,22052,20188,20457,19348,18832,17651,17050,16407,15825,14833,13802,11616,10203,9395,8853,8904,7304,7387,7473,7573,7428,7180,6395,6046,5552,5177,4694,4350,4046,3283,3203,2879,2699,2265,2091,1647,1408,1146,987,745,611,478,348,256,204,144,100,76,45,27,18,13,5,2,2,5
昭和55年国勢調査,女,1356659,18763,18993,19750,20280,21230,22373,23909,24593,24459,24405,23189,22556,21435,21420,17064,19997,18423,17232,18337,19118,18860,18110,17280,16624,17718,18928,19616,21277,23494,24984,27669,30487,31286,30040,18837,21204,25914,25738,26101,25058,23026,19987,20547,21137,21497,20556,19039,19219,18278,17843,16775,15843,15135,14496,14114,13469,11718,11462,11228,10701,10896,8895,8670,8525,8402,8213,8107,7554,7165,6653,6357,6114,5425,5059,4106,4148,3753,3772,3353,3061,2709,2279,1919,1724,1402,1147,945,711,551,378,347,262,180,137,86,52,27,14,16,4,6
昭和56年,総数,2778939,37275,39473,40399,41426,43172,44747,48343,50540,50103,49399,48497,46156,45136,45774,32959,42133,38677,35833,37196,42714,42052,40572,40131,37536,39330,41636,42051,44165,48563,51352,55749,63840,63076,63811,43283,40674,49827,53628,51315,52232,48322,42256,40954,45269,42726,44398,38853,39905,38439,36711,34859,32932,32411,29958,29088,28173,24186,22156,20449,20034,19337,17197,15711,16045,15826,15645,15427,14228,13171,12503,11639,11007,9694,9585,6904,7668,6701,6403,5784,5180,4378,3882,3074,2722,2188,1798,1438,1114,857,560,512,365,273,173,120,77,49,24,11,12,9
昭和56年,男,1419111,18997,20482,20751,21423,22130,23017,24799,25954,25641,25054,24824,23864,23224,23553,16916,21563,19827,18440,19516,23452,23056,22575,22263,20676,21876,22641,22500,23076,25461,26932,29074,33016,32296,32736,22256,20668,25147,27149,25963,26454,24655,21622,21460,23308,21908,22980,19979,20469,19878,18750,18070,16863,16890,15583,15111,14247,12151,10552,9278,9090,8687,7781,7204,7457,7442,7398,7301,6573,5997,5705,5195,4789,4338,4125,3222,3261,2925,2661,2368,2101,1652,1512,1116,982,769,622,497,355,268,180,160,106,71,48,27,19,16,7,2,2,4
昭和56年,女,1359828,18278,18991,19648,20003,21042,21730,23544,24586,24462,24345,23673,22292,21912,22221,16043,20570,18850,17393,17680,19262,18996,17997,17868,16860,17454,18995,19551,21089,23102,24420,26675,30824,30780,31075,21027,20006,24680,26479,25352,25778,23667,20634,19494,21961,20818,21418,18874,19436,18561,17961,16789,16069,15521,14375,13977,13926,12035,11604,11171,10944,10650,9416,8507,8588,8384,8247,8126,7655,7174,6798,6444,6218,5356,5460,3682,4407,3776,3742,3416,3079,2726,2370,1958,1740,1419,1176,941,759,589,380,352,259,202,125,93,58,33,17,9,10,5
昭和57年,総数,2814441,37104,36802,38948,39861,40996,42786,44378,47942,50239,49779,49203,48346,46037,45020,45817,32996,42370,38927,38366,43289,43421,42959,41116,41456,38614,40316,42454,42337,44226,48471,51145,55517,63506,62552,63497,43008,40485,49548,53382,51044,52082,48201,42159,40883,45241,42696,44346,38884,39888,38397,36702,34759,32857,32299,29803,28982,28013,24046,21966,20292,19844,19112,17061,15528,15860,15576,15412,15170,13921,12897,12259,11366,10681,9401,9245,6632,7356,6363,6126,5461,4804,4026,3532,2789,2401,1924,1587,1244,950,701,454,404,263,205,127,91,51,32,15,8,12
昭和57年,男,1438160,18950,18808,20261,20470,21198,21951,22819,24568,25805,25485,24947,24720,23824,23162,23557,16891,21718,19982,20122,23539,23986,23912,23048,23242,21260,22136,22788,22453,22995,25338,26893,28974,32858,31977,32608,22131,20584,25002,26955,25789,26314,24497,21539,21406,23281,21881,22941,19954,20439,19826,18725,17980,16844,16816,15506,15023,14165,12044,10430,9181,8969,8565,7704,7063,7357,7284,7274,7116,6418,5828,5543,5014,4596,4172,3923,3053,3080,2746,2499,2215,1911,1476,1344,983,842,656,537,431,296,213,135,118,79,53,35,20,13,8,5,2,6
昭和57年,女,1376281,18154,17994,18687,19391,19798,20835,21559,23374,24434,24294,24256,23626,22213,21858,22260,16105,20652,18945,18244,19750,19435,19047,18068,18214,17354,18180,19666,19884,21231,23133,24252,26543,30648,30575,30889,20877,19901,24546,26427,25255,25768,23704,20620,19477,21960,20815,21405,18930,19449,18571,17977,16779,16013,15483,14297,13959,13848,12002,11536,11111,10875,10547,9357,8465,8503,8292,8138,8054,7503,7069,6716,6352,6085,5229,5322,3579,4276,3617,3627,3246,2893,2550,2188,1806,1559,1268,1050,813,654,488,319,286,184,152,92,71,38,24,10,6,6
昭和58年,総数,2857197,36149,36776,36724,38586,39587,40922,42677,44233,47871,50238,49704,49340,48365,46098,45058,45957,33327,42744,41756,45090,43765,44280,43643,42589,42581,39673,41068,42967,42590,44413,48492,51103,55511,63252,62413,63335,42979,40451,49527,53340,50986,52141,48166,42097,40760,45291,42753,44429,38886,39829,38342,36598,34727,32693,32244,29700,28813,27903,23888,21846,20180,19693,18917,16915,15384,15666,15357,15192,14875,13668,12660,11965,11124,10404,9146,8943,6367,7018,5997,5760,5073,4444,3728,3225,2495,2136,1688,1378,1060,812,572,371,318,205,150,99,69,39,24,8,12
昭和58年,男,1461237,18746,18784,18793,20021,20331,21163,21895,22730,24554,25772,25441,25012,24756,23866,23173,23582,17115,22010,21894,24649,23995,24917,24483,24175,23878,21627,22204,22770,22423,23078,25232,26775,28904,32719,31812,32490,22075,20600,24966,26859,25723,26327,24419,21509,21306,23280,21904,22998,19953,20408,19751,18636,17934,16740,16771,15435,14909,14096,11931,10352,9086,8877,8456,7629,6984,7246,7155,7108,6936,6284,5677,5362,4855,4447,4013,3742,2887,2889,2547,2298,2026,1761,1333,1189,862,721,552,447,360,251,172,110,90,57,38,26,13,8,6,1,5
昭和58年,女,1395960,17403,17992,17931,18565,19256,19759,20782,21503,23317,24466,24263,24328,23609,22232,21885,22375,16212,20734,19862,20441,19770,19363,19160,18414,18703,18046,18864,20197,20167,21335,23260,24328,26607,30533,30601,30845,20904,19851,24561,26481,25263,25814,23747,20588,19454,22011,20849,21431,18933,19421,18591,17962,16793,15953,15473,14265,13904,13807,11957,11494,11094,10816,10461,9286,8400,8420,8202,8084,7939,7384,6983,6603,6269,5957,5133,5201,3480,4129,3450,3462,3047,2683,2395,2036,1633,1415,1136,931,700,561,400,261,228,148,112,73,56,31,18,7,7
昭和59年,総数,2904352,36995,36206,36660,36530,38496,39573,40956,42672,44127,47854,50300,49783,49462,48472,46171,45171,46251,33527,45411,48490,45662,44773,45195,45287,43700,43913,40491,41755,43333,42892,44751,48561,51244,55472,63257,62673,63450,43059,40524,49610,53363,50996,52171,48222,42195,40869,45361,42750,44468,38846,39719,38286,36451,34613,32513,32035,29527,28644,27676,23723,21644,20053,19525,18726,16712,15187,15468,15135,14966,14611,13426,12363,11642,10806,10106,8782,8575,6104,6704,5681,5407,4689,4065,3375,2900,2206,1893,1483,1178,889,655,461,293,250,160,106,85,56,22,20,12
昭和59年,男,1486461,18995,18752,18684,18660,19954,20313,21118,21851,22651,24522,25799,25511,25067,24846,23895,23246,23783,17245,23845,26442,25123,24969,25567,25704,24885,24535,21834,22377,22874,22497,23234,25138,26726,28882,32719,31927,32558,22091,20588,25009,26878,25700,26313,24385,21557,21333,23310,21895,22998,19946,20332,19705,18527,17830,16652,16622,15323,14747,13926,11803,10190,9005,8764,8330,7505,6855,7096,7035,6963,6775,6126,5501,5145,4694,4254,3803,3541,2717,2708,2372,2123,1819,1557,1183,1037,728,616,477,364,289,193,136,80,74,49,29,23,13,5,6,3
昭和59年,女,1417891,18000,17454,17976,17870,18542,19260,19838,20821,21476,23332,24501,24272,24395,23626,22276,21925,22468,16282,21566,22048,20539,19804,19628,19583,18815,19378,18657,19378,20459,20395,21517,23423,24518,26590,30538,30746,30892,20968,19936,24601,26485,25296,25858,23837,20638,19536,22051,20855,21470,18900,19387,18581,17924,16783,15861,15413,14204,13897,13750,11920,11454,11048,10761,10396,9207,8332,8372,8100,8003,7836,7300,6862,6497,6112,5852,4979,5034,3387,3996,3309,3284,2870,2508,2192,1863,1478,1277,1006,814,600,462,325,213,176,111,77,62,43,17,14,9
昭和60年,総数,2953667,36350,37006,36192,36549,36427,38442,39533,41052,42599,44225,47980,50441,49884,49601,48711,46345,45538,46618,35497,52342,49346,46549,45633,47002,46698,44805,44951,41050,42270,43799,43270,45022,48748,51275,55538,63406,62701,63562,43177,40589,49732,53457,51067,52292,48321,42376,40894,45399,42742,44496,38811,39768,38232,36441,34562,32409,32003,29415,28488,27532,23510,21584,19874,19352,18577,16547,15001,15234,14910,14737,14374,13193,12139,11376,10474,9754,8426,8229,5781,6362,5337,5005,4345,3691,3053,2590,1927,1666,1248,985,743,529,379,230,201,130,76,63,43,17,21
昭和60年,男,1512401,18732,18981,18745,18595,18614,19961,20255,21144,21824,22696,24576,25925,25577,25143,24959,23992,23478,24030,18608,28580,27168,25871,25451,26723,26464,25245,24839,21935,22563,22977,22581,23359,25256,26753,28799,32710,31923,32626,22149,20646,25023,26889,25722,26346,24418,21625,21309,23312,21877,22978,19924,20346,19656,18492,17800,16564,16558,15229,14635,13838,11654,10113,8900,8662,8269,7380,6748,6938,6882,6829,6611,5954,5337,4974,4520,4031,3594,3339,2542,2503,2168,1913,1644,1375,1038,903,609,523,374,301,227,150,110,62,56,37,16,19,11,4,7
昭和60年,女,1441266,17618,18025,17447,17954,17813,18481,19278,19908,20775,21529,23404,24516,24307,24458,23752,22353,22060,22588,16889,23762,22178,20678,20182,20279,20234,19560,20112,19115,19707,20822,20689,21663,23492,24522,26739,30696,30778,30936,21028,19943,24709,26568,25345,25946,23903,20751,19585,22087,20865,21518,18887,19422,18576,17949,16762,15845,15445,14186,13853,13694,11856,11471,10974,10690,10308,9167,8253,8296,8028,7908,7763,7239,6802,6402,5954,5723,4832,4890,3239,3859,3169,3092,2701,2316,2015,1687,1318,1143,874,684,516,379,269,168,145,93,60,44,32,13,14
昭和60年国勢調査,総数,2992926,35678,36534,37263,36464,36657,37917,38522,40004,41507,43027,45421,48632,50546,50016,49646,48007,47150,45034,50741,44799,53976,49982,47870,46406,45232,44694,44116,42764,41204,42622,44330,43780,46339,49789,53030,57791,62851,63818,61764,39171,42850,52444,51633,52855,50935,47165,41266,42718,43677,44315,42751,39068,39392,37281,36208,33813,32336,31018,29651,28042,26370,22427,20917,19766,18731,18771,15319,15155,15010,14775,14483,13935,12552,11849,10671,10003,9298,8162,7418,5821,5602,4983,4637,3867,3294,2698,2161,1783,1439,1052,776,633,420,299,181,121,98,62,41,19,22
昭和60年国勢調査,男,1532758,18179,18806,19047,18810,18578,19383,20023,20430,21412,22024,23306,24842,26030,25546,25107,24701,24311,23290,27103,24473,30026,27873,27168,26213,25413,24741,24205,22900,21826,22475,23270,22876,24219,25975,27785,29948,32371,32559,31821,20159,21695,26420,26009,26689,25714,23871,21074,22083,22377,22671,22058,20033,20216,19022,18426,17167,16698,16077,15317,14157,13134,10957,9644,8751,8373,8229,6751,6775,6854,6769,6636,6320,5533,5140,4617,4235,3799,3395,3053,2378,2240,2003,1784,1410,1201,893,747,558,456,325,244,174,121,96,60,41,19,16,7,4,3
昭和60年国勢調査,女,1460168,17499,17728,18216,17654,18079,18534,18499,19574,20095,21003,22115,23790,24516,24470,24539,23306,22839,21744,23638,20326,23950,22109,20702,20193,19819,19953,19911,19864,19378,20147,21060,20904,22120,23814,25245,27843,30480,31259,29943,19012,21155,26024,25624,26166,25221,23294,20192,20635,21300,21644,20693,19035,19176,18259,17782,16646,15638,14941,14334,13885,13236,11470,11273,11015,10358,10542,8568,8380,8156,8006,7847,7615,7019,6709,6054,5768,5499,4767,4365,3443,3362,2980,2853,2457,2093,1805,1414,1225,983,727,532,459,299,203,121,80,79,46,34,15,19
昭和61年,総数,3003039,35594,36682,37179,36693,36694,37193,38596,39751,41249,42674,44330,48098,50574,50174,49749,48887,46784,45928,50167,42543,55139,51342,48010,47065,45600,45524,43634,44319,41190,42390,44498,43795,45779,49376,51668,55946,63890,63087,63952,43502,40864,49742,53406,51436,52096,48366,42524,40900,45269,42872,44593,38783,39637,38089,36353,34293,32360,31821,29351,28266,27185,23271,21320,19615,19209,18373,16272,14798,15116,14638,14484,14058,12950,11781,10890,10175,9382,8145,7838,5496,5935,5009,4648,3966,3363,2696,2255,1770,1507,1097,802,612,451,321,175,130,85,73,39,27,23
昭和61年,男,1537306,18219,18831,19001,18901,18658,18998,20043,20388,21246,21838,22752,24605,25920,25689,25223,24990,24223,23685,26416,23311,30481,28718,27072,26605,25598,25165,23910,23807,21710,22483,23309,22890,23823,25730,27089,29102,32954,32189,32962,22406,20789,25044,26859,25957,26179,24499,21590,21322,23179,21916,22994,19822,20294,19575,18400,17628,16480,16487,15106,14465,13523,11470,9897,8696,8552,8060,7206,6602,6822,6677,6611,6386,5742,5072,4755,4278,3861,3412,3109,2378,2306,2024,1766,1469,1212,921,777,551,483,330,255,186,121,99,57,49,22,8,11,7,3
昭和61年,女,1465733,17375,17851,18178,17792,18036,18195,18553,19363,20003,20836,21578,23493,24654,24485,24526,23897,22561,22243,23751,19232,24658,22624,20938,20460,20002,20359,19724,20512,19480,19907,21189,20905,21956,23646,24579,26844,30936,30898,30990,21096,20075,24698,26547,25479,25917,23867,20934,19578,22090,20956,21599,18961,19343,18514,17953,16665,15880,15334,14245,13801,13662,11801,11423,10919,10657,10313,9066,8196,8294,7961,7873,7672,7208,6709,6135,5897,5521,4733,4729,3118,3629,2985,2882,2497,2151,1775,1478,1219,1024,767,547,426,330,222,118,81,63,65,28,20,20
昭和62年,総数,3060362,34471,35746,36860,37348,36819,36967,37340,38677,39886,41432,42788,44528,48344,50918,50562,49985,49435,47236,48497,57342,43409,56782,52314,49651,48654,46973,46774,44744,45238,41947,42862,45027,44163,46020,49685,51997,56243,64382,63464,64132,43692,41155,49952,53671,51660,52325,48601,42708,41070,45462,43038,44631,38849,39638,38067,36368,34234,32319,31746,29226,28049,27017,23088,21165,19452,19080,18190,16037,14606,14924,14383,14182,13822,12668,11551,10602,9844,9018,7814,7428,5223,5535,4609,4305,3613,3044,2386,1966,1549,1312,907,671,463,364,245,132,95,61,47,29,39
昭和62年,男,1568101,17902,18286,18915,19111,18962,18871,19095,20079,20511,21304,21917,22847,24735,26107,25882,25363,25305,24489,25486,31371,23933,31702,29288,28242,27565,26222,25638,24238,24081,21959,22648,23580,23006,23981,25893,27273,29238,33220,32366,32995,22449,20941,25122,26974,26059,26258,24557,21677,21362,23283,22001,22990,19834,20285,19552,18351,17587,16423,16387,14973,14279,13402,11344,9786,8568,8457,7919,7055,6471,6692,6502,6422,6232,5585,4925,4586,4067,3678,3218,2899,2224,2102,1825,1573,1315,1059,801,657,487,411,255,201,132,94,79,40,38,14,7,8,6
昭和62年,女,1492261,16569,17460,17945,18237,17857,18096,18245,18598,19375,20128,20871,21681,23609,24811,24680,24622,24130,22747,23011,25971,19476,25080,23026,21409,21089,20751,21136,20506,21157,19988,20214,21447,21157,22039,23792,24724,27005,31162,31098,31137,21243,20214,24830,26697,25601,26067,24044,21031,19708,22179,21037,21641,19015,19353,18515,18017,16647,15896,15359,14253,13770,13615,11744,11379,10884,10623,10271,8982,8135,8232,7881,7760,7590,7083,6626,6016,5777,5340,4596,4529,2999,3433,2784,2732,2298,1985,1585,1309,1062,901,652,470,331,270,166,92,57,47,40,21,33
昭和63年,総数,3118138,34728,34689,35826,37089,37480,36955,37101,37528,38842,40218,41767,43081,44824,48749,51170,50863,50358,49757,49786,55048,58808,44567,57931,54543,51364,49862,48196,47643,45589,45973,42599,43446,45491,44528,46494,50026,52373,56580,64827,63778,64449,43979,41375,50211,53952,51970,52618,48781,42929,41241,45509,43113,44661,38834,39639,38055,36277,34057,32240,31535,29003,27841,26817,22871,20974,19259,18865,17968,15862,14379,14668,14129,13864,13546,12348,11249,10249,9487,8708,7464,7061,4889,5149,4212,3966,3254,2727,2099,1689,1315,1108,754,546,361,288,189,101,67,43,38,36
昭和63年,男,1598351,17873,17969,18373,18996,19225,19026,18955,19222,20177,20655,21477,22058,22981,24901,26252,26020,25527,25518,26245,30009,32406,24828,32425,30825,29142,28043,26678,25797,24437,24317,22264,22859,23831,23185,24216,26044,27462,29348,33393,32511,33131,22580,21031,25248,27100,26205,26401,24639,21759,21443,23267,22019,22987,19807,20304,19532,18299,17433,16371,16218,14778,14108,13260,11211,9664,8440,8311,7759,6920,6324,6518,6343,6197,6080,5391,4743,4379,3886,3471,3011,2697,2058,1885,1608,1392,1151,912,661,548,397,335,195,147,101,69,62,31,27,12,6,4
昭和63年,女,1519787,16855,16720,17453,18093,18255,17929,18146,18306,18665,19563,20290,21023,21843,23848,24918,24843,24831,24239,23541,25039,26402,19739,25506,23718,22222,21819,21518,21846,21152,21656,20335,20587,21660,21343,22278,23982,24911,27232,31434,31267,31318,21399,20344,24963,26852,25765,26217,24142,21170,19798,22242,21094,21674,19027,19335,18523,17978,16624,15869,15317,14225,13733,13557,11660,11310,10819,10554,10209,8942,8055,8150,7786,7667,7466,6957,6506,5870,5601,5237,4453,4364,2831,3264,2604,2574,2103,1815,1438,1141,918,773,559,399,260,219,127,70,40,31,32,32
昭和64年,総数,3160295,35092,34575,34454,35539,36944,37239,36796,36826,37510,38685,40207,41684,43173,44877,48807,51265,51198,50670,52022,55774,56247,60561,45488,59716,55821,52384,50796,48879,48159,46128,46344,42916,43602,45626,44622,46510,49965,52315,56616,64769,63885,64453,44013,41353,50260,54098,52006,52640,48780,42965,41249,45505,43085,44579,38664,39447,37905,36054,33803,31946,31211,28702,27490,26532,22605,20723,18994,18652,17703,15581,14131,14376,13817,13545,13179,12007,10851,9862,9072,8274,7026,6615,4515,4792,3777,3604,2890,2411,1792,1411,1073,942,603,421,281,216,134,79,51,30,41
昭和64年,男,1620325,18039,17774,17781,18243,18874,19106,18953,18787,19171,20138,20664,21405,22062,23017,24924,26270,26242,25745,26974,30171,30748,33712,25274,33736,31614,29611,28214,26704,25917,24675,24598,22386,22868,23962,23267,24236,25995,27425,29355,33275,32570,33071,22539,21003,25221,27118,26174,26357,24609,21786,21444,23241,22018,22927,19663,20190,19449,18174,17286,16207,16011,14571,13893,13062,11007,9511,8293,8179,7580,6753,6154,6333,6159,5987,5852,5191,4500,4165,3642,3232,2793,2456,1863,1692,1388,1242,999,791,545,437,308,276,137,111,74,52,46,27,25,8,6
昭和64年,女,1539970,17053,16801,16673,17296,18070,18133,17843,18039,18339,18547,19543,20279,21111,21860,23883,24995,24956,24925,25048,25603,25499,26849,20214,25980,24207,22773,22582,22175,22242,21453,21746,20530,20734,21664,21355,22274,23970,24890,27261,31494,31315,31382,21474,20350,25039,26980,25832,26283,24171,21179,19805,22264,21067,21652,19001,19257,18456,17880,16517,15739,15200,14131,13597,13470,11598,11212,10701,10473,10123,8828,7977,8043,7658,7558,7327,6816,6351,5697,5430,5042,4233,4159,2652,3100,2389,2362,1891,1620,1247,974,765,666,466,310,207,164,88,52,26,22,35
平成2年,総数,3199032,32673,34865,34147,34136,35199,36620,36987,36325,36694,37264,38579,40108,41557,43149,44892,48855,51520,51403,52911,58489,57628,58420,61945,47195,61415,57063,53566,51408,49410,48583,46403,46636,43108,43489,45425,44425,46360,49725,52117,56478,64663,63800,64576,44058,41368,50351,54127,52062,52601,48763,42907,41200,45448,42994,44432,38550,39310,37677,35805,33583,31667,30884,28406,27212,26204,22347,20446,18725,18335,17461,15351,13871,14082,13439,13148,12799,11682,10494,9443,8643,7795,6578,6165,4092,4409,3420,3238,2550,2090,1534,1162,896,777,499,326,216,158,93,67,36,52
平成2年,男,1641565,16874,17854,17534,17678,18061,18692,18951,18693,18706,19030,20086,20629,21352,22066,23018,24940,26381,26359,27231,31364,31459,32366,34615,26462,34792,32069,30089,28385,26838,26106,24732,24771,22538,22814,23877,23164,24106,25883,27303,29272,33098,32528,33113,22519,20972,25196,27118,26198,26328,24606,21706,21408,23214,21946,22832,19615,20130,19304,18008,17144,15999,15756,14357,13700,12874,10840,9355,8132,7996,7415,6574,5994,6154,5945,5744,5607,4992,4301,3944,3380,2970,2558,2229,1635,1540,1214,1088,853,671,461,328,244,214,109,75,60,37,29,25,16,12
平成2年,女,1557467,15799,17011,16613,16458,17138,17928,18036,17632,17988,18234,18493,19479,20205,21083,21874,23915,25139,25044,25680,27125,26169,26054,27330,20733,26623,24994,23477,23023,22572,22477,21671,21865,20570,20675,21548,21261,22254,23842,24814,27206,31565,31272,31463,21539,20396,25155,27009,25864,26273,24157,21201,19792,22234,21048,21600,18935,19180,18373,17797,16439,15668,15128,14049,13512,13330,11507,11091,10593,10339,10046,8777,7877,7928,7494,7404,7192,6690,6193,5499,5263,4825,4020,3936,2457,2869,2206,2150,1697,1419,1073,834,652,563,390,251,156,121,64,42,20,40
平成2年国勢調査,総数,3220331,32319,33222,34149,34039,34192,35701,36425,36871,36252,36455,37775,38597,40266,41762,43401,45976,49432,51672,56158,61444,60439,59544,58429,60164,48035,57880,53593,51544,49357,47781,47175,46225,44350,42479,43609,44746,44127,46210,49866,53116,57862,63397,64344,62154,39513,43164,52987,51982,53297,51114,47106,41268,42857,43739,44284,41991,38753,38892,36767,35578,32863,31376,29952,28321,26857,25039,21325,19810,18637,17502,17552,14127,13966,13500,13215,12771,12121,10870,10052,8868,7875,7213,6127,5367,3973,3700,3136,2789,2174,1720,1263,960,767,560,372,238,153,101,72,35,50
