町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
旭区合計,アサヒク_ゴウケイ,男,128032,1127,1215,1176,1246,1179,1173,1163,1168,1189,1136,1141,1186,1251,1266,1270,1267,1311,1414,1424,1603,1484,1601,1739,1837,1907,2000,2143,2234,2397,2398,2436,2427,2361,2252,2211,1695,2106,1850,1806,1732,1690,1646,1616,1512,1457,1515,1568,1554,1629,1785,1927,2061,2238,2270,2170,1458,1621,1879,1905,1974,1900,1734,1625,1689,1775,1645,1576,1390,1440,1311,1195,1158,1083,994,987,788,754,633,497,464,375,388,255,248,210,183,150,176,105,81,63,53,38,28,25,7,5,3,1,2,2
旭区合計,アサヒク_ゴウケイ,女,127333,1057,1147,1091,1220,1137,1142,1079,1108,1131,1056,1090,1176,1134,1134,1236,1183,1287,1378,1402,1370,1509,1533,1643,1639,1797,1779,1931,2147,2147,2155,2309,2174,2040,1997,1919,1565,1798,1708,1666,1574,1526,1504,1488,1428,1465,1442,1503,1563,1610,1744,1937,2170,2284,2369,2283,1508,1604,2025,2105,2145,2061,1920,1649,1731,1696,1694,1634,1452,1519,1352,1335,1257,1159,1118,981,975,858,725,700,646,589,546,438,423,428,358,330,267,270,212,182,148,127,79,49,47,30,21,15,8,13
二俣川１丁目,フタマタガワ1,男,2374,38,18,40,29,29,25,22,20,21,22,19,15,16,21,16,15,18,17,27,24,29,30,42,30,30,36,43,45,55,53,49,55,61,59,54,38,40,49,48,39,35,34,33,33,33,24,18,26,33,47,39,38,40,43,31,26,24,31,25,26,22,31,20,22,27,25,19,17,15,27,19,18,17,21,12,14,12,10,9,9,6,5,4,5,4,1,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0
二俣川１丁目,フタマタガワ1,女,2390,23,33,29,27,26,29,18,22,14,16,25,20,20,16,12,23,21,19,21,25,23,35,28,41,40,43,35,49,62,50,74,61,50,48,50,41,36,36,40,38,32,28,24,22,15,28,38,34,21,31,24,32,38,35,44,28,24,43,29,26,38,28,19,23,26,21,23,30,17,19,25,19,23,18,18,19,15,11,10,10,8,7,8,7,10,4,10,2,2,1,1,1,2,0,0,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,男,1942,17,16,19,10,25,14,20,7,14,21,9,7,12,20,13,16,26,17,26,15,18,15,23,33,39,34,40,45,45,43,44,45,49,61,42,26,36,33,35,32,33,41,23,28,23,30,22,34,22,28,33,22,36,24,30,20,22,23,18,19,17,16,10,19,20,20,22,11,26,15,17,16,20,17,14,10,11,18,5,8,5,6,4,4,3,3,3,3,1,2,0,2,1,0,0,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,女,1980,17,20,11,14,23,20,17,11,16,12,20,13,13,14,17,16,15,16,23,30,31,27,31,34,37,38,31,30,53,42,42,35,43,39,30,25,35,35,32,27,28,26,28,23,24,20,20,28,25,22,27,35,30,26,22,22,20,16,24,27,16,20,13,21,35,28,27,25,18,17,26,17,17,21,20,10,19,11,14,5,11,9,7,4,7,7,6,4,4,4,2,3,2,0,0,1,0,0,0,0,1
本宿町,ホンジュクチョウ,男,3311,47,60,44,57,26,36,22,30,37,31,22,28,24,34,24,33,28,23,41,37,23,41,41,55,61,58,72,65,94,82,87,95,94,70,82,61,63,70,49,36,43,42,52,50,31,35,42,46,42,47,44,45,51,54,49,40,40,39,32,44,40,27,34,31,26,23,24,31,30,26,21,19,16,12,21,8,11,12,6,4,5,5,5,6,5,0,5,1,2,1,1,0,0,0,1,0,0,0,0,0,1
本宿町,ホンジュクチョウ,女,3097,45,44,48,47,41,44,34,32,33,29,29,30,31,31,26,25,23,36,34,35,36,34,33,31,44,47,60,81,77,72,60,87,72,66,66,45,58,53,45,38,36,45,28,38,31,30,39,28,40,34,43,57,50,58,44,35,23,44,45,28,40,30,38,30,24,35,20,23,18,25,18,23,14,14,12,14,15,18,14,9,8,12,13,6,13,4,6,5,9,0,3,0,3,2,0,1,0,0,0,0,0
南本宿町,ミナミホンジュクチョウ,男,2217,29,29,26,29,33,30,22,14,29,20,19,21,25,21,17,27,11,20,16,25,18,16,30,28,21,32,43,31,44,49,41,61,48,46,60,39,50,44,31,34,35,31,27,24,21,29,26,25,31,24,25,35,32,33,30,25,26,25,38,24,30,31,18,33,32,22,30,24,29,23,17,11,12,18,16,11,10,7,7,8,3,6,3,4,5,4,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0
南本宿町,ミナミホンジュクチョウ,女,2212,28,35,21,32,22,19,22,25,21,14,15,27,27,15,25,12,15,24,16,21,33,18,26,27,25,26,39,48,40,56,52,44,43,39,40,30,34,32,42,25,29,35,18,21,24,19,18,26,30,24,22,23,39,33,30,27,18,25,31,43,32,37,20,24,29,29,23,25,26,19,15,19,20,13,16,8,8,14,8,15,10,9,3,11,11,12,7,11,7,8,9,7,8,3,3,3,0,0,0,0,0
