町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
旭区合計,アサヒク_ゴウケイ,男,122887,864,986,948,969,1069,1103,1052,1082,1113,1055,1124,1150,1131,1145,1141,1173,1261,1179,1184,1177,1193,1224,1215,1197,1210,1191,1254,1245,1231,1279,1336,1352,1423,1441,1448,1572,1591,1720,1746,1855,2059,2149,2080,2155,2132,2108,2092,2067,1583,1933,1742,1648,1602,1573,1570,1513,1427,1324,1384,1461,1458,1488,1584,1738,1847,1981,2010,1894,1269,1329,1595,1558,1667,1568,1445,1281,1353,1348,1252,1157,925,945,837,718,651,581,454,433,317,267,193,131,113,88,69,37,22,19,12,9,13
旭区合計,アサヒク_ゴウケイ,女,127262,849,919,937,988,1047,999,972,1021,953,1012,988,1071,1134,1101,1115,1103,1198,1182,1174,1136,1134,1151,1151,1189,1173,1180,1131,1204,1154,1307,1331,1348,1301,1399,1448,1481,1538,1710,1631,1742,2006,2057,1998,2092,2008,1927,1925,1936,1498,1778,1672,1607,1543,1516,1447,1459,1381,1396,1368,1387,1502,1517,1660,1785,2022,2101,2169,2110,1410,1448,1854,1910,1931,1922,1792,1502,1564,1536,1498,1445,1252,1235,1095,1043,974,883,734,668,633,505,402,362,277,212,223,120,115,79,69,29,71
二俣川１丁目,フタマタガワ1,男,2211,20,17,20,16,9,24,15,15,19,16,25,19,14,22,13,17,18,16,23,14,20,22,25,24,27,26,25,32,31,29,48,30,34,33,43,29,25,36,30,40,50,46,52,40,34,35,38,31,26,36,45,40,33,29,30,26,23,26,14,21,23,36,42,34,34,28,33,26,19,11,24,19,19,17,19,19,19,21,16,10,13,10,18,11,11,10,9,5,3,7,4,0,1,2,1,0,0,0,0,0,1
二俣川１丁目,フタマタガワ1,女,2315,20,23,17,20,10,14,15,22,15,13,11,16,18,19,20,22,20,30,30,16,17,16,23,36,28,27,23,26,35,45,44,31,26,25,22,30,37,38,32,44,37,55,37,47,45,34,44,33,23,30,34,34,34,29,24,26,20,13,27,30,30,23,27,21,30,40,25,45,20,20,37,31,24,33,22,16,19,15,14,23,25,14,16,23,12,17,16,7,10,6,4,5,3,2,2,2,1,1,0,2,0
二俣川２丁目,フタマタガワ2,男,1868,21,18,13,19,14,10,19,10,8,5,9,15,8,12,5,11,19,17,17,23,9,24,26,19,23,27,30,30,36,44,29,32,30,34,25,20,34,31,30,27,42,29,24,32,38,29,33,37,26,32,32,30,32,25,27,26,32,16,28,18,30,24,24,27,18,23,16,23,19,18,19,9,9,12,13,7,12,12,13,11,9,17,9,13,9,13,7,7,4,3,8,1,2,1,3,0,1,0,0,1,0
二俣川２丁目,フタマタガワ2,女,2012,19,16,12,9,16,10,18,14,11,11,6,11,15,13,17,12,13,21,19,22,25,28,27,31,27,37,35,35,37,34,36,28,25,47,26,21,21,26,34,25,33,38,39,25,30,30,31,28,29,31,27,22,23,25,27,27,24,23,21,18,27,31,18,25,35,25,22,21,16,17,12,25,18,12,14,12,16,23,22,19,14,12,17,16,12,15,16,17,3,10,6,6,2,5,3,3,0,2,0,1,1
本宿町,ホンジュクチョウ,男,3652,42,36,56,37,39,35,36,45,42,51,49,34,37,47,39,56,39,30,30,32,29,46,42,36,33,34,44,45,56,47,57,53,57,57,36,60,50,59,58,70,66,80,68,77,86,58,75,68,46,59,60,50,46,38,45,42,51,27,34,42,42,37,36,40,46,41,47,48,33,33,33,25,40,32,24,19,18,23,12,16,22,16,15,12,8,9,5,6,2,3,5,1,1,0,0,2,1,0,0,0,0
本宿町,ホンジュクチョウ,女,3593,36,42,32,35,35,37,35,34,33,27,38,36,40,40,30,36,49,43,56,38,38,40,30,50,46,35,36,39,35,56,57,61,44,51,51,48,53,51,50,79,68,73,66,59,73,75,64,59,47,67,56,50,37,33,52,37,35,31,31,40,29,41,34,43,53,52,51,37,29,16,40,35,23,42,26,31,27,28,29,16,19,14,14,15,17,12,9,8,6,9,9,4,4,2,2,4,2,1,2,1,2
南本宿町,ミナミホンジュクチョウ,男,2381,27,32,21,18,25,26,26,16,27,26,26,26,28,27,31,27,32,32,31,29,18,32,19,18,23,29,19,16,33,18,31,30,22,36,27,27,38,41,39,43,34,51,42,40,42,48,54,47,36,39,39,24,33,37,31,23,35,27,28,25,20,20,22,21,33,21,22,30,23,23,20,28,23,20,25,17,27,23,16,14,16,15,17,7,5,7,13,8,4,3,4,1,1,3,1,0,1,0,0,0,0
南本宿町,ミナミホンジュクチョウ,女,2425,20,27,22,28,28,25,21,20,26,32,19,21,36,22,27,21,27,25,22,27,27,24,17,19,27,33,18,27,19,22,30,23,30,23,35,34,30,37,35,31,44,33,48,45,49,46,43,41,24,31,26,41,33,31,34,22,18,22,22,15,24,20,22,23,26,39,34,29,29,20,25,25,36,34,28,19,24,21,23,21,22,21,14,16,13,25,10,14,8,4,5,7,4,11,7,6,2,3,3,0,3
