町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
北山田五丁目,キタヤマタ5,女,1743,9,18,15,26,20,18,34,34,22,14,24,24,20,17,18,16,19,12,19,14,18,28,27,26,26,26,21,20,20,14,17,20,16,20,17,21,40,25,35,26,31,22,26,30,32,35,29,28,26,29,31,31,38,37,35,32,29,33,27,25,36,17,26,9,15,13,8,15,14,11,11,12,5,6,9,4,6,6,8,1,7,6,6,2,6,6,3,3,1,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北山田六丁目,キタヤマタ6,男,1487,13,12,17,11,13,13,16,18,16,23,19,17,17,22,32,31,18,21,20,17,21,27,21,17,16,13,14,13,10,12,18,9,9,10,9,15,15,8,22,14,17,18,23,17,25,29,43,36,29,31,28,32,31,26,22,35,30,22,13,18,20,14,10,7,8,9,11,6,20,20,10,12,6,10,8,7,9,16,12,16,14,3,11,4,5,5,6,1,9,3,3,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北山田六丁目,キタヤマタ6,女,1470,10,16,9,9,15,14,17,17,11,21,21,15,24,12,20,18,15,13,18,17,12,20,13,19,12,17,13,7,15,16,13,14,11,13,11,10,12,20,19,14,21,20,27,22,31,27,42,27,44,38,27,28,31,30,13,26,29,21,10,11,14,12,10,14,7,7,7,11,22,14,5,16,17,12,9,15,12,18,12,14,12,10,10,9,6,10,10,5,4,7,6,4,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北山田七丁目,キタヤマタ7,男,1099,8,4,5,3,2,8,11,9,11,8,16,12,10,12,15,16,18,26,19,35,35,31,22,20,17,10,10,9,5,8,6,6,4,5,5,6,7,10,6,7,8,12,11,4,17,13,18,16,24,26,36,37,40,34,28,41,24,27,25,14,16,13,8,10,5,6,8,3,5,6,10,8,8,13,6,1,3,4,6,4,4,3,2,5,1,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北山田七丁目,キタヤマタ7,女,1130,4,6,6,6,8,4,8,6,8,9,11,12,24,18,17,19,26,29,28,31,35,22,17,17,20,10,16,10,5,7,6,4,7,8,6,3,8,6,12,5,11,7,15,12,16,16,16,25,40,37,38,36,44,37,33,31,24,16,16,13,6,8,7,5,13,4,7,7,5,3,6,5,11,7,3,4,1,2,5,3,3,3,2,5,2,2,3,1,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葛が谷,クズガヤ,男,830,5,7,13,8,7,12,10,9,14,12,9,15,3,6,8,6,12,2,9,7,6,11,1,6,6,10,10,8,8,10,8,6,14,6,10,12,13,15,13,20,9,11,19,18,17,20,14,14,11,20,10,22,16,12,10,10,14,12,4,11,12,10,9,6,10,6,9,9,9,7,13,12,12,7,5,8,8,2,8,4,1,3,5,2,4,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葛が谷,クズガヤ,女,933,4,10,7,6,8,10,12,12,16,17,14,14,5,5,8,5,6,7,6,3,11,8,4,15,12,6,16,16,10,7,11,9,11,15,11,10,16,13,8,14,21,13,18,11,14,16,15,14,15,18,21,21,20,15,10,9,13,11,7,17,8,14,12,15,13,9,7,8,12,8,10,11,9,10,4,4,6,8,7,6,5,4,9,4,7,3,4,2,6,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見花山,ミハナヤマ,男,1469,8,9,11,16,14,17,10,21,17,23,17,22,17,20,17,15,18,18,17,11,12,12,9,18,18,11,11,10,15,12,12,16,21,14,12,17,24,16,13,15,30,30,25,31,26,27,23,27,27,30,29,30,21,33,17,25,20,17,21,20,17,17,12,18,10,19,11,12,10,17,17,18,10,17,14,6,16,14,14,14,14,11,4,6,11,5,3,3,3,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見花山,ミハナヤマ,女,1501,9,16,15,7,15,15,17,18,22,16,14,12,11,12,11,17,17,16,15,14,21,16,18,14,11,12,11,19,16,8,17,15,17,13,14,11,11,24,26,23,20,29,23,26,21,26,20,26,35,21,31,29,33,28,18,20,23,14,16,22,9,20,19,16,11,14,14,14,18,15,11,26,23,17,16,14,11,20,18,14,12,6,6,6,10,12,5,10,3,6,0,4,3,1,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南山田一丁目,ミナミヤマタ1,男,1218,14,10,11,9,19,20,11,14,15,20,16,9,15,11,21,20,17,16,18,17,23,17,16,17,8,5,9,9,7,8,5,8,8,15,6,5,17,11,11,10,10,16,29,16,25,27,17,21,18,21,31,14,19,30,26,26,22,28,22,22,17,16,21,9,9,6,8,21,9,12,8,9,15,12,7,11,10,11,6,5,9,5,3,6,2,3,4,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南山田一丁目,ミナミヤマタ1,女,1215,1,10,8,12,11,11,10,20,12,16,12,15,10,17,12,11,15,17,10,15,13,13,10,21,16,8,10,10,7,11,11,9,11,14,16,10,13,15,13,22,14,20,16,19,26,33,26,24,28,30,27,26,22,22,20,33,14,12,15,18,14,11,18,11,14,15,8,14,6,11,12,20,12,5,11,6,7,6,8,8,10,6,3,1,6,2,4,3,4,6,4,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
