町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
 # 浅間町５丁目,センゲンチョウ5,男,518,2,4,2,2,2,1,1,6,1,3,2,4,4,2,2,3,4,3,3,5,2,3,6,7,6,8,14,9,9,6,8,11,9,8,10,8,4,6,9,5,11,10,7,5,11,7,12,9,11,8,12,5,7,9,10,3,8,8,7,6,8,10,5,8,5,9,6,6,2,5,7,5,5,6,3,2,5,4,1,5,3,2,4,3,5,5,2,1,5,2,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 浅間町５丁目,センゲンチョウ5,女,611,0,5,5,0,6,6,2,1,3,2,4,6,1,4,1,2,3,4,1,6,5,6,7,8,10,10,8,7,10,12,9,7,9,6,8,6,8,8,8,8,13,9,8,9,4,10,8,15,10,11,9,12,3,6,14,7,8,9,7,4,8,6,6,5,5,5,6,11,7,7,6,9,2,13,1,4,13,5,5,5,9,4,6,3,4,6,7,8,7,7,4,5,2,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南浅間町,ミナミセンゲンチョウ,男,1471,11,15,7,10,16,11,12,11,13,6,9,9,4,5,8,2,9,12,4,6,7,11,15,15,28,23,29,27,32,29,24,24,22,23,40,23,28,28,30,24,30,33,28,25,26,22,23,21,28,19,26,22,23,20,18,22,18,31,15,18,4,12,17,18,8,12,14,17,14,13,26,22,24,20,16,10,13,10,10,6,6,7,5,4,4,5,4,5,2,6,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南浅間町,ミナミセンゲンチョウ,女,1350,6,10,7,12,8,13,15,10,13,6,12,12,11,10,4,5,7,7,9,5,5,11,13,23,15,12,26,17,19,20,20,23,23,19,17,33,11,27,24,26,26,21,19,19,20,18,25,23,23,23,14,21,18,28,18,11,14,20,14,11,13,10,9,8,18,9,14,13,15,13,10,24,13,20,16,15,9,15,8,21,7,13,9,12,5,9,15,7,6,5,7,7,6,1,4,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高島一丁目,タカシマ1,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高島一丁目,タカシマ1,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高島二丁目,タカシマ2,男,701,5,1,9,5,7,5,6,3,3,7,8,9,4,7,9,2,4,4,3,5,1,4,6,4,9,5,9,7,8,13,9,10,9,17,10,10,9,19,11,8,13,9,17,16,15,12,10,20,21,19,24,17,20,23,18,9,10,7,9,10,8,6,9,5,3,5,2,4,5,6,5,5,8,2,9,1,3,2,3,3,5,5,1,3,1,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高島二丁目,タカシマ2,女,745,6,3,4,6,0,9,6,7,6,11,2,11,6,8,2,5,8,2,4,3,3,9,13,7,9,8,15,7,9,14,9,8,10,5,12,13,12,8,15,14,10,12,18,15,14,21,15,22,17,13,15,22,11,14,15,5,14,12,14,4,5,6,7,8,6,4,9,11,5,7,7,4,3,5,4,2,4,10,4,5,7,4,1,0,5,2,2,3,4,1,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
戸部町,トベチョウ,男,2064,17,18,18,19,18,23,22,19,9,14,16,14,15,16,12,9,12,13,13,13,12,14,14,20,23,27,24,26,17,23,32,29,36,35,36,44,36,47,48,39,38,40,36,38,36,43,32,40,38,31,41,29,33,37,38,30,38,31,24,32,25,23,21,21,18,17,17,10,15,22,23,20,22,25,21,8,14,15,16,12,9,12,11,6,6,9,16,8,5,3,2,3,3,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
戸部町,トベチョウ,女,2032,18,11,15,12,22,16,20,22,13,10,14,8,10,12,11,8,7,6,12,11,10,20,21,20,13,21,25,26,23,27,25,38,36,26,44,37,26,35,39,33,50,25,33,48,39,34,36,26,33,28,42,37,42,31,33,22,24,41,19,26,18,27,21,21,15,19,14,18,14,17,14,21,23,27,31,15,15,23,21,16,9,17,14,17,11,20,14,9,18,11,5,4,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
