町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
神奈川区合計,カナガワク_ゴウケイ,男,114489,995,1006,917,954,888,934,970,847,863,851,832,845,848,834,803,761,864,842,978,1122,1332,1460,1606,1777,1730,1906,1895,2007,2066,2177,2126,2168,2201,2277,2385,2229,2187,2291,2270,2156,2233,1646,2029,1783,1717,1594,1558,1430,1397,1396,1394,1301,1370,1384,1417,1552,1546,1808,1941,1876,1737,1069,1189,1331,1314,1347,1228,1115,983,1039,995,1012,920,869,844,782,757,711,650,602,518,500,447,357,288,247,205,200,142,117,98,83,53,53,32,21,24,15,10,6,7
神奈川区合計,カナガワク_ゴウケイ,女,109110,965,889,904,890,873,864,860,850,885,814,793,774,807,754,792,808,778,799,878,940,1073,1094,1297,1375,1506,1586,1571,1730,1774,1825,1821,1814,1892,2065,2120,2025,2109,1885,1963,1837,1751,1427,1632,1531,1354,1329,1301,1319,1266,1200,1198,1189,1209,1173,1262,1399,1418,1647,1749,1741,1667,1026,1121,1372,1377,1364,1316,1230,1099,1034,1169,1182,1180,1119,1094,987,1038,985,924,876,776,744,740,622,515,539,467,434,312,269,243,215,174,133,107,78,58,55,35,28,32
青木町,アオキチョウ,男,564,6,1,4,5,2,0,3,3,1,0,3,6,2,1,2,6,6,4,3,5,9,6,3,11,10,9,15,17,15,20,15,20,23,13,11,15,13,9,21,11,12,7,5,10,10,7,15,7,5,5,4,3,8,3,4,7,3,10,5,13,4,2,5,5,5,6,4,5,4,5,4,4,3,1,6,4,4,2,4,0,2,2,2,1,1,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0
青木町,アオキチョウ,女,535,5,3,3,1,8,1,1,2,1,2,2,2,6,2,4,3,1,0,3,5,8,6,7,9,6,12,10,15,11,12,12,12,15,16,15,13,9,7,10,13,6,8,12,7,5,2,6,6,5,8,4,4,4,3,5,7,8,9,11,7,5,2,5,6,6,5,3,2,2,8,11,7,10,5,4,4,8,5,3,4,3,4,1,2,1,1,3,4,3,4,2,0,0,0,0,1,0,1,0,0,0
旭ケ丘,アサヒガオカ,男,720,3,4,4,6,10,2,2,4,5,5,6,0,6,9,2,2,2,3,5,10,17,13,9,12,17,23,17,7,9,10,11,7,12,15,10,12,4,13,10,13,23,13,7,7,14,11,10,5,8,8,13,11,16,7,12,12,8,8,15,11,9,5,4,3,11,11,5,8,7,7,8,7,7,3,8,13,6,4,5,8,4,4,6,3,4,3,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
旭ケ丘,アサヒガオカ,女,775,7,3,5,2,4,4,8,11,4,8,3,8,5,5,7,6,10,6,8,7,4,9,7,12,14,11,10,6,17,9,15,6,9,14,12,11,15,11,18,11,10,10,12,7,10,10,12,5,13,13,11,7,9,7,6,10,8,13,7,7,10,8,5,8,14,11,11,15,7,5,7,9,11,6,7,10,12,8,8,5,7,9,8,12,4,6,4,3,4,2,1,1,1,3,1,0,0,1,1,0,1
千若町,チワカチョウ,男,43,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,2,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,3,0,2,0,0,0,1,0,1,1,1,1,1,0,2,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千若町,チワカチョウ,女,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 千若町１丁目,チワカチョウ1,男,14,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町１丁目,チワカチョウ1,女,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,男,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,女,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町３丁目,チワカチョウ3,男,23,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町３丁目,チワカチョウ3,女,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
台町,ダイマチ,男,1072,14,7,13,6,5,4,4,9,9,5,2,4,9,1,9,1,9,4,8,9,12,9,14,18,14,21,17,31,23,25,32,30,27,24,32,26,31,30,27,25,31,22,32,22,26,25,20,22,15,21,10,11,12,6,7,5,8,12,19,14,17,9,8,7,8,5,3,10,5,3,5,4,1,4,4,5,6,5,5,3,2,1,5,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
台町,ダイマチ,女,978,10,11,14,11,11,9,13,8,5,6,9,7,7,7,0,3,5,2,3,2,5,7,9,8,9,14,14,24,21,24,28,19,20,24,20,29,36,29,24,31,28,17,25,18,14,19,18,18,8,6,8,17,7,15,7,10,6,14,14,14,11,8,5,4,9,13,2,4,5,9,5,4,5,9,6,4,10,7,2,6,3,1,3,3,3,2,2,0,0,2,1,1,1,2,2,1,0,1,1,0,0
恵比須町,エビスチョウ,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
恵比須町,エビスチョウ,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
二ツ谷町,フタツヤチョウ,男,444,0,2,0,0,1,3,0,0,3,2,3,3,2,1,1,2,1,1,1,2,5,6,11,5,8,6,14,10,8,6,15,8,11,9,5,7,6,7,10,3,12,3,17,2,2,7,5,4,0,6,4,5,9,1,4,4,5,9,6,6,12,3,3,6,9,9,7,11,2,8,6,2,4,5,5,6,1,9,6,5,3,1,1,4,2,2,2,1,1,2,0,4,0,1,1,0,0,1,0,0,0
二ツ谷町,フタツヤチョウ,女,477,5,1,0,1,2,1,0,2,4,5,2,1,4,1,2,0,4,1,3,7,3,8,5,11,7,15,11,10,6,9,10,15,6,4,10,7,9,6,7,6,5,4,7,8,4,3,5,3,5,5,5,4,1,2,5,5,4,8,5,12,6,3,3,9,5,12,8,7,5,5,6,8,10,6,4,3,9,3,5,2,4,4,5,5,5,4,4,2,5,1,0,1,3,2,2,0,0,0,0,0,0
白楽,ハクラク,男,1059,4,7,4,9,5,3,8,2,9,3,8,7,3,6,9,7,8,8,8,14,16,12,16,14,13,15,21,20,20,25,20,16,19,19,19,25,12,15,12,22,13,16,15,19,9,8,11,19,12,6,13,13,13,14,18,16,25,12,21,21,18,13,13,11,16,17,16,11,12,11,12,14,8,8,13,12,8,10,5,9,7,7,3,5,2,6,1,1,4,2,2,2,1,1,0,0,1,0,0,0,0
白楽,ハクラク,女,1053,7,4,8,4,2,8,6,7,5,7,5,5,5,4,5,5,3,5,5,7,9,13,17,16,25,13,21,14,21,17,14,13,17,16,16,18,23,17,11,17,19,8,11,14,10,9,5,11,10,7,12,13,13,11,15,12,21,15,19,20,15,16,11,16,27,22,12,11,9,9,14,11,9,10,15,7,9,11,17,11,6,11,10,9,12,6,8,8,8,1,5,3,5,1,2,0,1,2,2,0,1
