町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
瀬谷区合計,セヤク_ゴウケイ,男,64094,616,672,639,644,689,675,708,678,732,637,674,640,646,594,642,594,597,633,608,676,655,696,696,743,788,732,815,801,907,972,1049,1091,1162,1202,1259,1253,1270,1176,1104,1135,887,1017,908,913,858,778,739,778,737,666,672,737,696,754,815,851,947,1000,998,947,631,667,898,877,922,862,855,773,731,741,740,681,645,585,522,514,445,428,375,354,318,244,209,156,129,119,107,77,51,63,41,38,26,18,14,12,12,6,4,4,2
瀬谷区合計,セヤク_ゴウケイ,女,64484,584,586,628,685,628,705,628,611,700,648,607,578,617,595,591,545,550,579,568,630,617,685,678,711,666,720,778,835,839,917,936,1005,1141,1116,1186,1169,1083,1097,974,1023,792,924,792,811,793,704,718,674,688,596,711,683,761,733,821,855,1021,1119,1140,1071,659,785,958,955,997,920,913,806,740,795,786,731,635,642,649,602,534,488,464,444,397,356,321,305,257,242,233,191,149,139,125,89,90,54,62,36,34,29,6,5,15
相沢一丁目,アイザワ1,男,680,7,19,4,10,6,6,4,4,5,7,4,7,1,7,7,12,4,9,2,3,2,8,8,4,16,10,14,6,19,16,20,17,8,17,19,12,20,12,17,10,18,14,14,8,4,10,4,7,8,11,6,12,3,3,6,6,3,12,9,5,9,7,8,9,10,7,6,6,5,8,5,6,9,5,8,2,2,8,2,1,3,0,1,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
相沢一丁目,アイザワ1,女,670,7,6,13,11,3,6,7,4,8,3,6,5,6,6,6,7,9,9,8,9,8,2,12,8,9,8,16,12,14,11,15,18,9,10,16,15,11,11,15,9,8,8,4,10,9,10,8,6,5,9,7,6,9,4,5,5,7,10,23,11,9,7,4,3,8,12,5,6,6,7,9,7,2,7,8,8,3,2,4,3,2,1,2,2,3,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1
相沢二丁目,アイザワ2,男,761,3,5,4,9,11,12,12,9,9,14,9,6,6,8,8,9,6,9,6,6,7,11,3,7,11,8,8,10,11,10,9,11,21,17,18,15,16,21,12,16,8,12,9,14,8,5,12,9,10,11,7,8,5,10,8,7,9,2,10,13,9,8,8,13,8,8,7,13,11,4,7,10,10,8,8,10,7,3,8,4,3,2,0,3,2,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0
相沢二丁目,アイザワ2,女,751,11,8,9,9,11,7,9,9,11,10,8,7,8,5,6,4,7,4,1,7,6,3,6,7,7,5,9,12,7,18,11,12,15,10,13,16,8,17,17,15,13,9,12,5,6,10,10,8,8,3,8,9,8,7,13,8,8,10,9,12,2,9,12,13,11,8,18,11,10,9,9,8,9,10,12,4,11,4,2,3,7,4,3,2,4,1,4,1,4,3,1,0,1,0,0,0,0,0,0,0,0
相沢三丁目,アイザワ3,男,659,7,7,4,6,4,4,5,6,5,9,4,8,6,5,7,3,5,7,10,5,5,6,7,8,6,8,7,13,15,14,15,21,8,11,13,13,12,13,13,16,10,8,14,15,7,10,8,6,6,5,9,4,7,12,3,11,7,6,8,5,3,5,8,12,10,3,5,4,9,6,8,13,6,10,11,2,9,7,3,7,2,1,3,3,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
相沢三丁目,アイザワ3,女,590,5,4,3,1,5,9,1,9,6,7,4,4,8,5,6,6,0,3,6,5,4,4,7,8,5,11,11,9,9,9,9,6,17,11,10,7,6,12,10,12,7,12,7,7,6,9,4,10,9,7,9,7,3,5,4,2,4,10,6,14,5,7,7,6,14,7,12,10,6,7,8,9,8,12,7,11,3,4,4,5,3,3,4,2,0,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
相沢四丁目,アイザワ4,男,675,14,6,9,6,9,3,8,6,9,5,9,4,8,3,6,7,6,4,2,4,6,5,6,2,4,5,7,14,14,11,16,8,12,17,12,20,13,16,13,13,15,12,11,10,9,8,7,7,5,2,8,7,7,3,5,12,9,9,9,10,2,5,5,11,7,5,11,8,8,9,15,11,8,8,4,7,6,5,8,8,5,5,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
相沢四丁目,アイザワ4,女,668,7,9,8,7,6,5,8,3,12,4,9,5,7,2,2,4,1,6,4,7,5,2,10,6,11,9,9,10,10,14,7,6,9,10,13,14,12,10,11,10,6,10,6,7,5,6,9,8,7,10,8,6,5,9,6,9,4,6,15,14,3,9,7,11,11,12,10,6,12,13,12,9,5,7,10,7,7,7,9,5,4,3,4,6,4,2,2,0,1,2,0,1,2,0,2,1,0,2,0,0,0
