町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
上白根三丁目,カミシラネ3,女,980,1,1,5,1,3,3,6,11,6,7,8,8,6,6,14,7,5,10,17,7,8,10,7,12,13,6,7,5,5,7,3,4,6,4,1,5,4,6,6,11,11,12,8,15,16,15,19,12,12,16,9,18,9,14,14,18,15,11,15,13,10,14,17,10,8,11,11,14,16,24,23,22,21,33,22,17,22,20,25,6,19,15,10,9,10,10,4,4,5,2,1,2,0,3,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上白根町,カミシラネチョウ,男,4013,7,13,7,14,10,13,18,21,18,15,31,32,26,31,37,31,39,40,31,38,47,39,50,25,24,41,25,20,27,26,24,36,22,28,27,28,21,30,23,32,24,40,32,52,44,61,63,62,75,68,68,85,55,70,49,69,44,53,41,43,54,33,41,43,40,48,57,67,59,69,85,77,107,102,67,69,80,85,80,98,72,57,64,59,48,55,36,26,16,19,10,8,2,4,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上白根町,カミシラネチョウ,女,4491,8,16,13,17,13,14,18,15,16,21,28,22,31,31,29,26,28,30,31,34,26,35,30,37,26,26,18,30,22,20,23,15,14,19,16,29,22,28,32,40,27,35,27,45,37,48,65,65,68,72,68,74,56,66,56,41,59,59,39,47,43,52,38,43,33,53,54,71,67,79,100,101,103,130,68,94,126,126,132,131,115,94,77,91,64,68,63,53,41,32,28,19,22,26,16,13,3,8,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷,カネガヤ,男,249,1,0,0,5,2,2,5,2,6,6,5,4,6,6,8,4,6,2,5,3,4,3,3,1,5,2,2,1,4,2,1,1,4,3,5,3,1,4,3,0,5,1,6,3,8,5,5,9,8,6,2,4,0,4,2,3,1,1,4,3,0,0,4,1,1,3,2,3,5,4,1,1,3,1,1,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷,カネガヤ,女,251,0,0,2,1,0,2,2,3,6,8,7,10,6,4,3,5,5,5,5,4,5,2,0,4,4,3,1,1,1,1,1,0,0,3,1,4,1,3,4,6,4,4,6,5,7,12,3,4,2,2,5,2,6,2,1,3,2,1,0,2,3,3,2,4,4,3,1,0,2,1,2,3,1,2,3,0,0,1,2,1,1,0,2,1,2,0,2,0,1,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷一丁目,カネガヤ1,男,779,5,4,7,3,5,3,1,8,7,8,8,10,8,7,7,7,8,15,17,5,9,9,5,11,4,3,5,2,3,4,8,3,4,3,6,5,6,3,11,5,12,17,8,14,6,12,14,14,20,16,12,13,16,9,11,10,9,19,10,9,7,3,6,7,6,8,4,10,9,12,4,12,11,13,17,8,15,12,8,12,16,11,6,9,8,9,5,6,5,6,2,1,1,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷一丁目,カネガヤ1,女,768,3,4,5,4,4,2,2,5,4,8,6,10,6,10,8,9,9,6,12,6,4,6,6,4,0,5,4,8,3,8,2,3,7,7,4,7,4,3,5,7,6,14,10,6,12,12,12,16,13,15,17,11,8,12,15,7,8,8,4,6,10,8,10,10,6,13,8,13,5,6,12,14,13,18,7,12,17,13,13,14,13,15,10,10,13,7,9,6,7,3,6,3,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷二丁目,カネガヤ2,男,734,2,3,3,3,12,7,7,5,7,8,13,6,5,7,8,7,8,5,14,6,6,4,5,6,7,8,5,3,1,3,7,4,3,6,2,4,9,7,8,11,11,7,7,12,12,12,12,15,14,14,16,12,24,17,8,12,5,10,10,5,9,5,9,8,8,7,9,6,14,6,7,7,7,8,9,11,10,14,13,6,10,11,9,6,8,10,5,4,4,3,3,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金が谷二丁目,カネガヤ2,女,788,4,8,4,5,7,7,6,4,6,7,6,11,9,6,6,5,3,8,11,6,9,12,6,6,5,5,5,6,4,4,5,4,7,5,8,5,10,11,8,9,12,13,10,8,14,8,8,6,7,14,11,12,16,18,4,13,11,9,14,5,6,8,14,6,7,6,6,5,5,12,9,12,14,17,15,11,12,13,16,15,9,5,11,12,10,13,5,5,3,3,3,6,6,3,2,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柏町,カシワチョウ,男,2312,25,18,23,20,26,15,19,18,21,20,10,20,19,21,20,10,19,21,16,15,20,24,26,15,25,25,21,28,18,27,26,29,30,22,27,29,35,25,25,29,31,23,30,23,30,38,28,30,31,31,34,36,26,36,32,47,30,37,37,37,32,35,31,33,26,26,27,12,29,23,29,30,38,28,23,20,34,29,30,28,21,24,30,26,17,18,18,9,7,14,10,7,6,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柏町,カシワチョウ,女,2530,15,19,17,20,16,19,14,13,15,15,13,14,15,12,16,14,16,25,23,16,22,23,22,28,23,31,38,25,24,23,34,28,22,25,35,26,17,18,26,24,36,22,39,27,27,45,33,46,31,55,35,37,42,41,35,29,45,35,32,28,31,35,31,25,22,18,28,24,36,35,37,33,26,49,33,24,32,38,33,38,46,23,33,24,34,36,29,20,17,12,15,10,12,8,5,5,4,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
