町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
新磯子町,シンイソゴチョウ,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
上町,カミチョウ,男,630,2,3,5,4,2,6,5,8,3,4,5,8,3,4,5,6,8,6,7,3,7,8,5,2,10,7,6,7,9,3,7,5,9,7,9,7,9,7,9,4,10,10,7,13,13,10,14,14,11,14,12,11,10,17,10,6,17,5,7,10,11,7,6,4,9,1,11,6,8,3,4,15,6,9,9,7,6,7,9,4,6,4,0,3,4,5,2,0,3,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上町,カミチョウ,女,637,4,5,3,5,2,2,2,6,6,7,4,7,8,9,6,5,8,3,5,7,6,7,9,7,7,8,9,4,4,6,5,9,4,6,5,5,9,7,13,8,6,6,7,10,7,8,9,14,14,12,10,8,4,13,8,7,9,8,4,5,6,8,10,5,9,10,6,6,10,3,13,9,9,6,16,8,6,8,5,3,11,3,4,7,4,9,6,2,4,5,3,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上中里町,カミナカザトチョウ,男,1939,18,14,5,8,17,8,10,15,9,12,17,13,17,15,13,15,9,13,15,16,10,16,13,21,11,19,15,19,20,13,17,22,19,16,24,25,24,26,24,18,29,24,27,20,27,21,34,32,27,30,31,28,33,35,34,24,25,14,24,27,18,15,27,23,25,28,21,20,22,29,29,40,34,40,37,23,36,44,30,32,27,25,23,24,16,19,12,11,4,5,3,4,4,3,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上中里町,カミナカザトチョウ,女,2020,15,13,14,13,14,17,14,12,15,14,10,15,15,12,9,12,8,10,14,10,15,11,20,14,16,13,13,16,17,12,13,22,17,18,23,17,18,23,24,26,20,23,19,18,15,25,24,30,23,28,35,27,29,23,24,25,30,29,23,14,23,25,35,22,22,28,21,29,24,42,30,49,42,51,55,35,29,39,34,49,40,26,24,15,26,24,11,9,14,10,14,7,5,5,4,8,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木一丁目,クリキ1,男,1023,12,6,5,12,9,9,7,10,13,9,7,6,14,8,17,9,8,8,15,9,6,12,10,12,13,8,6,8,11,11,9,13,10,10,16,7,10,15,15,18,8,11,16,13,13,7,20,12,16,13,17,20,15,25,22,14,14,14,15,14,13,10,11,7,10,16,14,14,10,11,12,12,12,19,14,8,14,7,5,15,7,11,5,11,8,8,5,6,1,1,0,5,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木一丁目,クリキ1,女,1009,5,9,10,8,12,9,3,5,8,6,4,8,7,4,12,10,7,11,11,7,10,11,7,8,8,9,7,5,8,10,12,10,9,14,17,14,9,9,19,11,9,12,8,16,13,17,11,12,17,15,23,10,20,14,17,11,16,15,13,13,12,8,12,18,10,14,11,8,5,14,14,11,16,15,13,11,10,15,11,13,12,8,9,10,9,11,9,9,13,8,7,3,4,3,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木二丁目,クリキ2,男,962,8,5,3,3,2,6,3,7,4,4,2,10,7,6,11,6,17,9,6,7,7,9,13,11,9,12,6,11,12,10,6,5,21,12,13,14,13,9,16,11,12,18,12,13,16,19,10,17,17,21,14,19,12,14,18,8,15,14,18,9,15,13,15,13,11,10,15,8,10,22,15,13,21,18,18,14,13,16,6,11,6,7,8,1,2,3,2,1,3,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木二丁目,クリキ2,女,944,7,3,3,4,5,10,7,6,5,9,4,8,7,8,3,2,9,5,5,6,16,8,9,7,9,12,6,9,17,5,13,6,8,10,10,9,4,8,10,10,11,10,13,9,14,20,9,16,22,20,9,18,10,11,13,14,18,17,21,12,12,12,16,11,18,10,8,14,14,17,19,22,21,17,18,10,10,15,13,4,8,5,7,3,5,8,4,7,7,4,4,4,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木三丁目,クリキ3,男,1045,1,8,7,12,7,9,10,10,10,15,9,10,11,16,9,8,7,13,11,12,14,13,12,14,8,10,6,9,7,10,6,8,5,4,9,7,15,12,15,16,10,17,18,22,17,25,20,25,25,16,14,26,20,18,21,13,14,11,17,9,14,10,11,9,8,9,9,10,14,8,15,6,13,19,18,8,9,8,7,7,9,11,5,12,11,7,4,6,4,4,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗木三丁目,クリキ3,女,1028,3,5,4,6,5,7,6,8,8,14,13,11,15,8,14,8,11,7,7,10,11,9,4,13,11,7,7,8,8,4,8,6,3,9,11,6,8,16,8,15,17,16,16,13,16,19,19,20,18,17,17,18,17,23,15,11,14,10,20,13,11,9,11,12,8,17,16,9,15,13,6,17,14,12,13,8,21,15,14,11,14,15,9,8,8,11,7,7,6,2,6,2,3,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丸山一丁目,マルヤマ1,男,2225,9,11,9,14,25,21,20,21,17,19,26,16,19,26,27,23,17,23,20,13,17,22,27,20,16,22,20,18,11,15,25,22,23,19,28,22,29,29,30,25,26,31,35,35,32,47,47,33,50,42,50,38,41,27,28,34,40,31,53,21,32,32,36,36,25,22,33,25,30,25,31,34,40,31,32,22,23,26,19,16,15,15,10,8,8,11,6,8,6,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丸山一丁目,マルヤマ1,女,2152,10,8,15,21,17,19,15,24,20,20,11,26,18,18,25,21,11,18,17,21,21,27,21,25,19,19,13,14,15,14,10,28,18,28,22,18,25,25,35,29,26,33,29,30,41,31,36,49,33,33,38,40,26,29,23,26,35,33,35,22,30,31,31,35,23,32,29,25,34,29,38,30,40,26,33,14,14,16,22,18,17,25,9,17,15,20,12,9,3,4,9,5,8,3,4,6,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
