町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
青葉区合計,アオバク_ゴウケイ,男,142105,1586,1772,1700,1630,1724,1654,1676,1588,1634,1430,1458,1471,1429,1379,1552,1490,1453,1496,1676,1950,1918,1935,1967,2012,2137,2241,2431,2423,2629,2792,2753,2773,2834,2989,2975,3082,2509,2993,2745,2628,2527,2349,2189,2115,1944,1831,1843,1763,1662,1663,1777,1976,1945,2276,2299,2349,1424,1529,1794,1714,1758,1522,1448,1239,1218,1203,1272,1159,937,951,887,822,710,614,608,562,547,480,367,329,282,268,246,200,139,157,142,127,111,77,67,46,39,22,22,21,7,6,4,3,3
青葉区合計,アオバク_ゴウケイ,女,140104,1579,1591,1588,1639,1666,1624,1591,1610,1519,1382,1385,1388,1317,1305,1417,1404,1311,1434,1540,1614,1639,1703,1831,1891,1949,2054,2198,2376,2618,2817,2894,2824,2966,2899,2978,3020,2340,2679,2473,2340,2272,2016,2060,1957,1852,1794,1753,1759,1714,1796,1885,1918,2201,2451,2339,2250,1481,1563,1806,1728,1760,1568,1384,1178,1233,1213,1133,1074,953,931,874,866,794,740,748,648,646,645,507,460,460,469,440,337,302,282,241,223,186,163,167,113,94,86,62,52,20,18,18,11,17
あかね台一丁目,アカネダイ1,男,1292,13,18,10,23,15,16,13,11,16,21,25,13,19,18,18,20,14,26,21,13,18,23,17,13,14,15,16,15,14,15,26,29,22,21,24,23,24,22,16,19,22,22,19,18,19,28,18,24,18,20,21,22,24,23,25,30,17,13,18,21,9,13,7,8,6,14,8,10,9,6,10,8,3,4,2,4,5,3,2,1,1,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
あかね台一丁目,アカネダイ1,女,1303,8,17,8,14,18,16,12,25,14,16,10,23,9,16,19,21,23,24,16,21,30,14,18,12,15,15,12,22,25,21,24,19,37,27,18,26,12,29,28,21,20,18,28,17,16,32,13,29,19,16,16,22,28,22,27,16,6,13,16,14,10,10,12,4,11,12,11,6,2,8,6,7,2,3,10,4,6,5,3,6,4,0,3,3,1,3,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,男,861,10,18,6,13,12,14,9,12,10,18,14,11,14,10,16,13,11,17,9,13,12,15,11,9,21,8,11,10,11,6,5,14,14,16,15,22,13,22,16,14,20,12,17,19,15,13,18,14,10,8,13,21,8,14,22,15,11,6,10,2,4,4,10,5,6,9,7,5,2,6,1,2,3,1,4,2,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,女,844,8,13,16,11,14,13,12,15,13,7,6,11,19,11,17,11,14,11,12,12,9,17,8,10,10,10,5,6,19,12,10,10,16,20,17,19,16,19,16,17,18,12,10,15,15,13,13,13,14,17,13,9,13,17,15,13,6,6,4,4,9,7,10,4,4,6,3,4,6,6,4,4,4,1,0,3,4,1,0,1,2,2,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,男,2295,15,21,16,14,15,12,12,18,19,21,18,22,31,20,17,15,16,20,23,39,31,37,18,36,36,37,42,54,42,49,33,37,33,43,51,34,39,27,40,37,43,33,29,22,27,32,29,30,29,21,36,38,38,46,40,44,30,26,35,36,34,28,21,26,28,26,37,27,26,22,28,29,15,15,14,18,9,12,12,6,6,8,7,5,8,4,3,3,6,1,1,2,0,0,1,1,1,0,1,0,0
青葉台一丁目,アオバダイ1,女,2519,25,11,11,16,16,20,14,22,18,16,13,16,17,18,21,15,21,19,33,30,28,36,35,29,36,35,41,45,46,49,45,42,48,47,55,47,33,34,32,30,28,28,28,20,33,25,30,40,40,29,38,40,43,46,55,34,32,32,40,43,39,46,39,22,34,35,39,34,21,34,18,26,23,26,26,14,20,20,17,12,12,16,10,9,11,9,6,9,3,7,1,1,3,3,0,2,1,1,1,0,0
青葉台二丁目,アオバダイ2,男,1800,15,17,29,17,24,22,18,24,26,21,21,18,23,16,25,25,15,15,21,26,26,21,24,30,29,30,49,36,45,33,39,38,46,57,38,34,31,43,50,32,34,43,37,27,26,18,25,29,25,18,15,22,17,36,24,29,21,15,17,13,14,8,10,9,11,7,5,5,5,13,7,5,7,6,5,6,5,4,1,5,1,2,6,4,0,1,2,1,1,0,1,0,1,0,0,1,0,0,0,0,1
青葉台二丁目,アオバダイ2,女,1651,20,17,15,17,17,22,23,22,22,24,14,22,20,18,20,13,16,20,16,24,11,20,14,29,28,25,32,24,29,37,34,31,35,37,37,42,28,36,34,42,28,28,18,33,20,33,24,26,17,22,17,19,22,20,30,27,10,3,19,11,13,13,10,13,17,12,7,9,7,9,8,13,13,5,8,6,7,9,1,8,6,3,6,5,4,5,3,6,0,1,0,3,5,0,0,0,1,1,0,0,0
あざみ野一丁目,アザミノ1,男,1913,36,40,22,20,27,21,27,27,16,18,17,12,14,16,12,13,14,20,8,19,26,18,27,24,20,34,28,34,44,44,46,39,39,50,42,53,61,61,59,55,43,25,37,36,31,29,23,18,23,28,16,25,26,18,36,28,16,16,18,23,17,15,12,13,12,10,15,15,4,6,10,9,9,5,3,5,2,6,3,5,3,1,2,6,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0
あざみ野一丁目,アザミノ1,女,2003,39,25,31,28,35,25,27,28,27,10,14,12,11,20,10,19,18,14,12,12,21,30,22,28,28,41,24,50,52,49,53,68,46,58,59,58,45,53,47,41,39,32,30,42,29,19,26,20,23,18,23,28,26,23,20,23,15,19,19,17,17,21,15,4,17,11,13,9,13,9,7,11,8,3,11,4,3,6,3,6,2,2,5,4,2,2,5,1,2,1,0,1,1,1,0,2,0,0,0,0,0
あざみ野二丁目,アザミノ2,男,1443,12,14,14,6,15,12,7,10,10,14,12,4,17,7,7,17,18,11,21,15,26,19,23,17,21,24,28,26,43,31,47,37,35,33,46,34,28,30,23,25,22,19,18,20,19,13,16,14,18,14,16,17,22,29,26,17,21,12,22,15,22,13,19,4,18,9,8,18,12,15,6,11,5,4,9,13,9,6,6,3,3,2,2,3,1,3,0,1,1,0,0,3,3,0,1,0,1,0,0,0,0
