町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
上の宮二丁目,カミノミヤ2,男,1292,8,10,10,18,16,15,12,8,21,17,19,21,18,19,16,13,11,16,12,20,20,13,20,12,16,9,14,10,9,13,12,18,12,22,21,20,18,8,17,9,26,26,28,27,32,30,24,33,30,28,24,26,24,14,17,11,19,18,13,23,11,19,12,11,11,11,6,10,7,4,13,10,13,4,3,4,11,4,6,8,5,3,9,10,3,3,5,1,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上の宮二丁目,カミノミヤ2,女,1262,13,20,14,12,18,14,14,13,12,17,12,14,16,23,12,15,7,6,10,11,13,19,12,12,16,18,8,9,11,22,12,17,13,15,21,17,14,7,15,19,26,23,26,25,26,28,26,29,18,22,19,26,21,23,18,12,21,17,9,16,9,15,9,6,12,5,6,12,13,13,11,4,8,11,4,9,10,9,12,10,8,9,9,11,6,8,6,6,1,2,3,1,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉一丁目,カミスエヨシ1,男,1281,5,6,8,7,8,3,8,13,7,18,21,14,10,20,18,13,17,11,15,20,16,15,17,12,18,11,16,18,12,13,19,10,17,19,15,16,13,19,12,13,14,19,18,23,16,35,29,36,30,24,19,14,30,21,17,14,26,22,23,17,14,21,13,12,14,9,8,6,11,13,13,16,14,15,6,10,9,16,6,8,6,4,3,4,9,7,3,3,4,1,6,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉一丁目,カミスエヨシ1,女,1200,11,9,6,8,7,13,10,11,9,14,9,14,15,10,19,9,17,17,14,18,20,21,16,19,10,10,8,9,12,14,9,11,5,12,19,8,14,12,14,11,17,15,15,15,20,26,28,33,29,23,30,19,17,22,14,12,14,18,11,19,9,8,11,9,6,7,9,14,9,16,10,13,20,18,7,9,10,10,10,11,9,10,10,6,11,7,8,2,5,3,3,5,4,2,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉二丁目,カミスエヨシ2,男,1217,10,4,8,8,5,8,7,11,15,8,11,18,19,19,25,14,14,19,13,17,16,8,12,4,10,12,8,6,6,5,12,15,9,9,12,12,11,16,12,17,14,14,15,21,26,32,33,40,36,22,20,33,26,22,28,15,10,18,13,13,14,8,9,11,11,15,8,18,22,7,17,26,12,10,12,8,11,6,10,8,9,5,1,6,6,5,8,2,5,3,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉二丁目,カミスエヨシ2,女,1158,7,3,12,7,11,5,9,5,7,13,10,8,22,8,8,21,20,24,16,11,9,13,8,5,3,5,13,6,8,7,8,9,9,4,9,15,14,18,9,11,15,21,17,23,29,34,29,29,41,14,21,14,19,19,13,10,13,12,19,11,16,7,5,14,15,9,14,7,9,10,12,11,17,18,7,10,20,4,15,15,12,8,6,9,14,7,8,7,8,2,5,4,4,4,3,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉三丁目,カミスエヨシ3,男,635,5,4,8,2,9,8,8,2,3,5,7,4,3,3,2,3,0,2,1,4,4,4,10,4,8,9,5,4,5,11,4,9,12,13,9,13,8,10,7,11,11,7,5,10,13,13,10,9,22,9,12,11,12,12,3,11,13,5,3,5,4,11,8,7,11,7,4,9,9,8,9,13,9,11,4,10,1,5,7,8,2,5,3,3,3,3,2,3,6,1,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉三丁目,カミスエヨシ3,女,560,5,4,4,3,2,1,3,3,6,5,6,3,4,4,6,4,1,1,5,4,5,9,6,7,5,7,5,12,6,5,11,4,13,9,8,6,10,9,5,7,6,6,5,8,11,8,8,8,7,7,4,7,3,2,5,6,5,8,8,12,6,7,7,3,2,9,3,11,4,9,9,9,10,7,6,10,6,6,6,5,8,1,4,5,8,1,8,4,6,1,4,5,4,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉四丁目,カミスエヨシ4,男,745,3,8,4,1,3,6,4,6,2,5,6,5,1,8,4,4,0,5,11,5,8,7,10,10,14,3,7,6,4,9,6,6,11,3,9,5,11,16,7,12,10,10,7,14,8,17,16,17,11,14,12,12,21,19,10,6,7,7,4,4,7,8,13,6,8,12,16,5,8,13,13,12,13,17,4,13,9,13,12,13,10,5,3,4,3,2,3,3,4,1,4,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上末吉四丁目,カミスエヨシ4,女,743,4,3,2,4,3,4,6,1,4,3,3,5,3,5,5,8,8,5,9,10,10,8,5,7,9,5,4,3,3,7,2,5,9,2,5,6,6,12,10,4,9,9,12,7,6,12,11,16,15,14,8,10,8,14,9,12,15,8,4,10,6,12,11,8,9,13,7,12,13,14,10,19,16,12,12,12,11,12,11,13,7,9,10,7,8,4,6,8,2,6,4,6,2,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
