町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
青葉区合計,アオバク_ゴウケイ,男,132110,1630,1617,1653,1524,1492,1384,1355,1379,1356,1324,1454,1423,1390,1430,1509,1503,1463,1500,1648,1925,2023,2082,2213,2201,2551,2686,2612,2685,2848,2901,2912,3079,2434,2857,2656,2588,2388,2187,2132,2042,1868,1762,1760,1744,1650,1681,1771,1936,1949,2287,2303,2338,1433,1563,1795,1761,1803,1635,1481,1333,1240,1270,1312,1235,984,1023,937,861,753,662,673,616,601,550,422,378,315,312,311,246,179,228,211,177,160,113,115,87,67,44,45,31,19,15,11,6,3,3,4,2,0
青葉区合計,アオバク_ゴウケイ,女,127910,1556,1563,1565,1491,1454,1339,1343,1300,1243,1255,1351,1321,1274,1389,1410,1424,1365,1415,1583,1653,1742,1806,1966,2071,2177,2505,2543,2572,2775,2639,2708,2800,2199,2505,2329,2250,2112,1932,1936,1863,1806,1731,1739,1711,1676,1750,1832,1878,2178,2453,2384,2282,1502,1578,1849,1770,1793,1587,1393,1165,1248,1222,1167,1091,971,951,873,878,812,735,769,632,673,641,520,472,487,488,475,352,336,333,264,274,233,204,205,161,143,121,106,79,50,43,35,30,19,14,12,6,4
あかね台一丁目,アカネダイ1,男,1159,16,18,10,12,15,20,20,13,19,12,17,22,11,18,17,9,17,19,17,16,19,17,14,20,18,21,21,25,16,21,18,24,15,14,15,24,21,20,13,13,13,27,14,23,19,24,20,19,23,22,25,23,14,15,20,23,10,11,8,8,7,11,10,13,7,5,8,7,4,3,2,4,4,4,4,2,0,1,5,3,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
あかね台一丁目,アカネダイ1,女,1119,14,14,10,24,12,16,10,10,12,17,15,14,21,25,15,23,20,12,15,13,9,10,11,16,20,21,24,10,24,25,17,21,15,25,22,15,15,18,26,14,12,33,13,27,21,12,15,17,27,21,26,20,7,12,13,14,9,12,14,5,8,12,10,6,0,9,4,8,2,2,7,3,5,5,6,8,2,0,3,3,4,5,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,男,438,6,5,7,10,2,8,7,8,7,1,11,6,6,10,6,7,8,10,4,5,9,7,6,3,10,4,4,10,3,4,4,10,6,12,6,6,11,7,5,9,7,10,10,5,12,5,6,13,5,10,13,12,7,1,7,0,3,2,9,1,2,4,3,4,1,1,2,0,2,0,2,3,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,女,425,5,6,10,4,4,2,4,10,7,8,10,3,10,11,7,6,7,7,4,4,8,11,1,6,4,2,6,8,4,12,5,9,5,9,8,10,9,8,7,6,6,11,11,5,5,9,9,8,8,9,10,10,3,2,1,5,4,2,5,3,3,2,2,2,4,1,1,3,1,0,0,2,2,1,0,1,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,男,2363,27,18,12,25,18,23,18,18,28,15,23,11,21,26,28,29,25,37,19,34,37,34,31,41,43,46,30,44,42,42,52,53,41,42,46,34,41,30,28,22,23,32,28,39,34,27,37,40,46,46,44,44,30,26,40,37,35,32,22,31,23,28,40,31,33,25,29,30,18,16,20,19,11,16,13,8,6,12,9,6,10,5,5,4,7,3,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,女,2531,25,19,18,16,15,18,15,18,15,14,21,20,24,20,34,32,22,28,36,23,35,29,28,39,41,55,56,48,52,47,53,50,40,41,31,34,35,21,27,22,33,21,31,48,50,32,39,39,50,49,47,34,37,32,43,41,45,48,39,21,36,35,39,36,23,35,18,28,26,27,25,15,25,20,17,13,15,16,11,7,12,8,6,15,3,8,0,2,3,3,2,0,3,1,0,0,2,0,0,0,0
青葉台二丁目,アオバダイ2,男,2061,27,28,26,38,18,19,18,18,22,20,20,20,20,16,24,27,17,18,25,29,30,27,38,42,56,62,45,56,58,74,56,58,53,51,55,48,37,35,40,37,30,25,26,33,30,23,22,35,28,42,31,33,26,14,19,15,24,14,15,14,11,7,8,7,8,16,11,8,9,6,6,7,7,7,2,6,1,2,7,4,0,4,3,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0
青葉台二丁目,アオバダイ2,女,1730,27,26,25,25,27,20,13,19,20,12,20,18,10,21,17,24,16,16,19,33,21,25,29,28,21,34,32,32,50,33,49,43,31,49,44,41,30,29,29,25,24,23,22,31,25,29,21,19,30,28,31,32,15,7,22,18,17,14,11,14,18,15,11,11,8,11,13,13,13,6,8,7,7,9,2,8,5,4,6,4,5,7,4,6,0,1,1,4,4,0,0,0,1,1,0,0,0,1,0,0,0
