町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
港北区合計,コウホクク_ゴウケイ,男,163500,1617,1448,1532,1459,1391,1313,1400,1324,1405,1472,1392,1379,1400,1313,1331,1340,1296,1233,1286,1459,1530,1613,1909,2155,2345,2534,2793,2782,2781,2914,3022,3067,3065,3204,3171,3286,3297,3303,3231,3299,3243,3277,3208,3170,2428,2929,2628,2500,2356,2188,2147,1976,1890,1720,1759,1843,1724,1816,1900,1922,2075,2293,2391,2166,1381,1445,1625,1646,1604,1483,1413,1178,1206,1132,1194,1076,958,922,856,786,721,625,602,536,479,415,343,260,208,201,125,107,73,67,66,44,30,21,9,6,17
港北区合計,コウホクク_ゴウケイ,女,161313,1537,1542,1442,1394,1337,1320,1349,1335,1354,1254,1419,1393,1380,1323,1256,1291,1240,1225,1237,1274,1409,1581,1751,1965,2159,2385,2540,2569,2607,2640,2730,2827,2762,2816,2925,2929,3188,3070,3053,3088,3008,2945,2802,2764,2133,2524,2345,2192,2057,2070,1909,1872,1834,1620,1698,1699,1677,1687,1861,1886,2056,2282,2306,2223,1402,1542,1803,1810,1762,1707,1582,1338,1409,1377,1404,1316,1268,1194,1118,1129,1051,962,907,785,768,722,562,502,484,404,377,276,212,195,166,117,103,65,54,38,56
富士塚一丁目,フジヅカ1,男,995,11,3,3,8,7,8,7,11,9,9,6,9,15,9,11,10,15,11,11,11,9,8,11,15,10,12,17,16,11,13,16,9,12,11,9,11,14,14,9,20,20,21,18,20,11,11,15,19,19,24,19,16,21,13,14,14,9,11,9,15,13,14,15,14,12,8,13,7,7,8,12,14,11,9,10,7,6,5,5,9,7,7,5,2,3,4,3,3,2,2,4,1,1,0,0,1,1,0,0,0,0
富士塚一丁目,フジヅカ1,女,1048,8,9,7,6,8,11,9,8,5,10,6,9,6,11,1,6,12,10,7,10,7,13,12,12,21,10,9,11,14,12,11,23,6,12,17,8,17,12,16,19,16,18,16,21,13,20,7,18,21,16,19,17,17,13,18,10,7,11,12,16,9,16,22,16,12,12,9,10,9,14,7,11,17,8,13,11,12,10,8,14,6,9,9,9,7,7,11,2,4,5,3,2,2,2,1,1,1,0,0,0,0
富士塚二丁目,フジヅカ2,男,1413,10,7,8,6,9,9,9,8,12,13,15,15,12,14,13,19,11,14,17,14,13,16,20,18,24,12,34,21,34,27,25,21,25,29,24,15,25,16,16,24,16,15,22,22,29,35,15,32,25,23,23,22,17,16,16,14,16,23,19,17,17,30,28,28,8,10,10,11,15,15,12,7,7,10,9,8,9,12,7,11,5,9,5,7,6,4,2,3,2,6,3,2,3,0,0,1,0,0,0,0,0
富士塚二丁目,フジヅカ2,女,1405,13,8,4,13,6,5,8,11,7,6,20,16,7,13,10,13,13,10,14,19,15,16,18,13,20,23,26,24,21,9,19,16,25,18,14,15,18,10,21,12,18,17,26,27,29,25,30,23,25,16,16,15,22,17,12,28,27,14,30,16,14,20,40,15,10,9,14,7,14,6,17,11,19,9,21,13,12,11,10,9,15,13,9,14,13,8,10,3,6,7,4,1,2,4,4,3,1,1,2,2,0
日吉一丁目,ヒヨシ1,男,1107,11,7,15,6,4,2,12,7,6,9,9,5,11,8,16,6,7,9,9,11,9,15,24,15,26,18,19,23,18,19,22,13,14,16,23,23,25,15,21,17,23,16,14,17,26,20,13,11,8,9,13,13,18,6,15,17,11,8,15,13,16,18,14,19,9,8,10,11,19,9,16,8,11,5,9,8,9,11,6,2,5,1,5,11,4,6,6,5,5,5,0,2,0,1,0,0,1,0,0,0,1
日吉一丁目,ヒヨシ1,女,1152,7,7,3,6,7,4,10,5,5,3,10,11,6,12,3,6,6,8,8,11,8,9,17,18,12,16,22,25,21,21,20,17,19,11,23,14,14,17,20,20,18,14,12,19,13,14,13,21,15,12,14,16,15,9,17,13,17,15,17,14,16,13,12,13,17,15,15,17,16,8,10,14,10,15,9,13,11,9,10,11,12,13,14,13,8,14,4,10,10,3,4,2,1,2,2,0,3,0,1,1,1
日吉二丁目,ヒヨシ2,男,1481,16,7,16,9,5,8,11,6,7,13,11,7,3,6,9,13,7,8,8,16,25,24,30,50,46,30,41,35,27,28,26,35,32,37,29,38,23,23,19,26,21,34,16,28,15,13,18,21,23,10,19,16,8,16,15,21,20,16,11,18,17,22,21,20,13,10,14,10,15,11,11,10,14,14,11,12,9,7,11,5,10,4,8,4,5,6,1,4,2,1,3,2,2,2,1,0,0,0,0,0,0
日吉二丁目,ヒヨシ2,女,1474,9,8,7,8,4,8,7,4,9,6,4,12,6,10,9,7,9,10,7,13,21,25,20,35,32,32,30,29,28,29,41,33,30,28,21,28,39,27,21,16,20,21,17,27,16,25,12,21,19,18,8,15,16,15,13,12,12,27,14,20,10,27,27,24,13,10,16,15,14,23,14,10,12,15,16,7,13,9,9,9,12,13,8,7,10,11,7,9,13,6,5,4,1,1,1,0,0,1,0,1,1
日吉三丁目,ヒヨシ3,男,1242,13,5,4,3,5,2,7,9,4,2,8,9,5,3,2,8,2,6,7,16,14,29,33,40,40,44,39,38,48,51,35,34,35,29,40,23,23,29,33,26,26,23,24,16,16,18,15,15,14,14,8,15,12,8,5,16,6,9,7,3,10,16,13,9,7,6,9,12,10,5,8,4,7,3,9,6,1,4,3,4,1,1,5,2,3,4,2,0,1,0,0,0,0,1,2,0,1,0,0,0,0
