町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
西区合計,ニシク_ゴウケイ,男,39589,304,299,280,248,275,278,261,265,296,284,283,332,274,328,299,313,327,329,315,420,487,564,652,681,759,840,850,866,825,840,840,785,736,658,766,644,603,606,528,543,548,537,529,522,533,517,545,575,622,701,758,774,730,457,452,561,564,560,535,499,405,395,450,468,464,423,434,366,427,361,394,350,352,313,292,236,226,199,195,166,152,133,109,125,125,81,82,67,55,36,31,21,14,8,7,7,4,4,3,4,3
西区合計,ニシク_ゴウケイ,女,38278,266,297,263,261,293,258,282,267,272,268,231,285,304,273,329,320,335,325,319,369,401,497,484,547,605,668,707,714,704,719,689,620,690,519,574,503,538,523,460,461,490,475,442,439,424,402,443,474,553,568,619,703,654,374,433,557,507,554,546,492,419,446,468,509,479,540,478,483,498,473,404,426,422,486,413,351,365,306,322,306,265,254,225,207,165,175,150,129,99,91,91,69,60,35,30,14,9,8,10,1,8
赤門町,アカモンチョウ,男,251,2,1,0,0,2,1,2,4,3,2,4,1,2,0,2,1,3,0,2,2,2,4,5,1,4,3,8,1,3,5,7,3,1,3,3,1,1,2,2,3,2,2,6,2,4,1,6,4,5,3,9,8,6,6,5,3,1,7,8,3,0,1,4,1,2,7,3,5,4,5,2,3,2,2,1,2,3,3,0,2,2,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
赤門町,アカモンチョウ,女,208,0,1,1,0,1,2,2,0,1,0,1,3,1,2,0,1,0,2,3,0,3,5,2,4,4,2,2,4,3,5,4,3,2,0,3,3,3,2,1,1,4,3,2,2,1,4,1,4,4,6,4,2,6,2,1,2,1,2,1,1,2,4,2,3,8,2,4,4,4,1,3,4,3,2,1,3,3,3,2,5,5,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,男,251,2,1,0,0,2,1,2,4,3,2,4,1,2,0,2,1,3,0,2,2,2,4,5,1,4,3,8,1,3,5,7,3,1,3,3,1,1,2,2,3,2,2,6,2,4,1,6,4,5,3,9,8,6,6,5,3,1,7,8,3,0,1,4,1,2,7,3,5,4,5,2,3,2,2,1,2,3,3,0,2,2,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,女,208,0,1,1,0,1,2,2,0,1,0,1,3,1,2,0,1,0,2,3,0,3,5,2,4,4,2,2,4,3,5,4,3,2,0,3,3,3,2,1,1,4,3,2,2,1,4,1,4,4,6,4,2,6,2,1,2,1,2,1,1,2,4,2,3,8,2,4,4,4,1,3,4,3,2,1,3,3,3,2,5,5,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
東ケ丘,アヅマガオカ,男,762,7,3,5,12,6,8,9,15,4,13,12,15,8,11,10,9,5,4,5,5,6,14,7,8,14,15,14,18,11,10,14,13,14,14,14,10,13,11,14,17,11,18,14,11,7,11,9,14,13,14,10,10,22,9,11,13,12,5,7,8,10,4,9,11,5,4,7,5,5,9,2,6,4,2,4,5,5,5,0,1,2,2,0,2,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
東ケ丘,アヅマガオカ,女,640,5,3,4,5,2,11,6,9,7,11,9,10,11,10,6,3,5,3,7,2,3,9,3,4,9,11,8,7,15,9,13,11,8,12,18,7,13,14,10,12,17,10,6,5,13,11,6,6,9,10,9,8,17,4,3,9,10,11,5,8,6,7,5,8,6,5,6,4,8,10,5,4,5,7,3,4,5,2,6,1,3,1,7,1,4,3,2,3,3,1,0,1,1,0,0,0,1,0,0,0,0
中央一丁目,チュウオウ1,男,1430,9,14,11,12,6,5,10,8,12,14,13,12,12,14,8,14,6,12,7,14,13,24,17,33,27,39,34,35,23,42,35,22,38,31,27,34,30,24,24,24,22,27,24,22,17,17,27,23,16,21,34,18,24,10,20,17,15,19,16,15,11,15,11,8,9,6,13,14,9,9,16,7,8,13,11,13,6,6,7,5,5,7,2,7,4,1,3,3,1,2,1,1,3,0,0,0,0,0,0,0,0
中央一丁目,チュウオウ1,女,1362,12,16,7,10,12,7,5,10,13,5,12,12,14,11,10,15,12,13,14,11,19,19,18,28,37,28,41,28,33,31,26,29,29,21,18,18,24,22,16,20,22,20,14,18,18,10,15,15,15,20,18,19,22,10,16,12,11,19,21,9,8,16,12,16,18,13,18,12,18,11,13,13,10,17,14,9,12,8,5,6,7,4,9,9,3,6,6,5,4,3,2,3,0,0,1,0,0,0,0,0,1
