町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
 # 子安通３丁目,コヤスドオリ3,男,2273,19,16,21,20,22,22,18,19,20,13,18,19,18,18,15,20,12,16,16,12,19,15,18,27,32,56,35,50,39,44,47,49,44,43,44,38,39,41,46,38,44,46,45,48,50,52,57,59,51,47,57,34,37,31,37,32,33,40,23,27,15,17,15,17,12,18,17,24,18,15,13,14,12,6,14,11,7,5,12,2,10,5,4,5,4,0,5,0,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 子安通３丁目,コヤスドオリ3,女,2053,18,26,24,24,16,22,14,18,22,10,22,26,18,12,14,17,19,10,15,23,15,14,24,37,34,44,26,23,40,31,38,23,39,36,35,36,33,37,42,41,41,34,52,52,38,54,44,42,35,34,33,29,40,26,37,27,18,17,16,13,14,16,10,15,14,8,14,17,18,20,25,20,15,14,9,11,9,10,7,7,15,4,12,10,5,8,4,5,5,2,2,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新子安一丁目,シンコヤス1,男,2751,32,41,46,48,44,36,36,25,18,17,28,17,18,15,16,17,15,12,43,50,43,21,22,33,25,42,47,47,34,44,42,50,22,52,51,55,55,51,47,44,59,46,51,51,54,61,51,46,49,48,47,41,47,44,43,39,30,42,32,36,35,20,26,16,17,29,16,26,15,23,23,21,13,11,13,13,11,20,11,11,4,9,7,5,5,12,3,5,6,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新子安一丁目,シンコヤス1,女,2541,33,43,45,53,48,37,38,28,26,20,18,15,22,9,18,18,18,21,19,22,20,12,20,15,19,31,32,34,32,34,36,26,56,51,47,57,44,60,57,46,43,46,37,47,60,40,53,31,44,31,41,47,40,31,43,29,33,29,23,30,25,20,18,16,14,24,18,21,23,21,19,29,14,11,18,17,22,10,10,20,9,9,13,15,14,4,7,6,7,3,5,5,5,2,1,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新子安二丁目,シンコヤス2,男,1213,8,10,10,12,15,17,10,14,10,10,10,17,16,16,9,19,14,9,8,10,9,11,5,15,15,12,18,13,14,15,15,17,15,15,21,18,13,14,18,22,22,32,19,26,34,32,23,22,30,31,30,33,26,14,26,25,20,11,15,11,6,10,17,9,4,7,7,10,8,11,10,8,12,7,5,11,5,1,6,4,3,3,7,6,2,0,2,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新子安二丁目,シンコヤス2,女,1167,7,15,15,16,15,13,18,6,16,25,20,11,20,18,9,16,8,11,17,13,9,7,13,11,7,22,9,6,10,14,11,10,12,11,8,21,23,16,17,23,15,27,32,23,25,31,24,30,32,29,24,19,26,13,14,13,10,17,7,3,6,6,12,7,6,10,5,8,10,8,13,8,15,4,10,9,3,7,8,2,3,4,3,2,6,3,4,3,6,2,1,3,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗田谷,クリタヤ,男,1335,11,6,10,6,7,9,13,10,11,10,5,16,12,12,7,9,8,7,6,10,23,24,11,20,29,21,19,33,33,19,24,19,18,18,17,19,22,23,19,16,21,16,27,29,17,19,30,27,20,29,17,25,20,11,16,12,21,10,6,12,17,12,12,13,14,14,17,9,17,22,16,21,17,11,12,5,12,11,8,11,6,3,9,5,5,2,11,2,5,3,4,3,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗田谷,クリタヤ,女,1404,5,9,7,11,14,10,13,8,12,14,5,11,5,11,8,13,11,5,10,13,13,30,16,26,20,27,31,18,25,16,16,18,15,15,22,24,14,16,20,24,9,22,29,21,27,21,23,20,20,18,21,12,20,10,14,13,15,19,16,9,16,19,23,8,16,20,18,14,15,16,22,18,14,14,12,14,10,13,12,6,7,10,8,7,11,8,8,14,8,14,5,10,5,5,10,6,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松ケ丘,マツガオカ,男,1266,14,12,16,13,5,10,13,11,6,12,13,8,9,16,12,9,11,5,16,12,14,12,17,32,9,15,16,13,27,21,21,14,16,16,21,22,21,19,21,25,14,15,20,21,19,20,12,25,21,25,22,20,17,18,21,12,20,14,11,15,23,16,15,14,8,12,10,15,13,14,20,13,18,3,4,16,10,6,10,9,5,13,5,6,4,5,5,3,1,2,2,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松ケ丘,マツガオカ,女,1256,17,14,12,9,14,12,12,8,9,8,8,12,8,12,5,10,9,6,6,10,8,11,13,15,12,13,6,18,18,16,11,11,16,26,20,15,13,16,25,18,14,21,16,21,21,32,22,19,19,27,26,15,20,13,30,16,15,15,15,13,13,12,11,11,11,13,12,18,13,21,15,12,11,10,11,9,6,15,9,11,9,6,7,11,8,12,5,5,9,6,7,8,3,7,0,7,2,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
