町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
港北区合計,コウホクク_ゴウケイ,男,169390,1797,1735,1605,1566,1580,1480,1292,1441,1416,1346,1285,1380,1338,1426,1462,1416,1402,1438,1399,1576,1671,1751,1812,1980,2072,2187,2253,2445,2538,2688,2781,2927,2915,2880,2846,2958,2936,2962,3008,3079,3111,3238,3221,3130,3159,3198,3165,3152,3088,2390,2881,2551,2446,2315,2117,2080,1935,1848,1693,1673,1767,1619,1715,1752,1808,1956,2133,2195,1986,1253,1324,1446,1478,1396,1350,1249,1028,1043,948,1027,893,769,737,665,577,506,422,386,344,289,234,178,131,97,78,42,32,23,20,15,19
港北区合計,コウホクク_ゴウケイ,女,169292,1685,1642,1597,1477,1450,1364,1429,1337,1311,1303,1293,1307,1366,1354,1281,1429,1403,1425,1399,1434,1545,1677,1743,1961,1935,2133,2274,2320,2447,2571,2770,2607,2689,2652,2667,2646,2766,2778,2770,2931,2884,3079,3005,3010,3085,2945,2927,2773,2746,2142,2548,2352,2198,2050,2035,1915,1815,1808,1587,1679,1634,1607,1618,1816,1798,1935,2193,2212,2106,1357,1465,1720,1725,1706,1630,1494,1244,1316,1282,1311,1227,1172,1064,981,979,906,790,740,606,571,527,384,316,291,213,175,114,94,64,54,104
富士塚一丁目,フジヅカ1,男,946,8,3,3,5,6,8,5,5,9,6,8,9,10,8,11,6,10,16,8,13,11,18,13,12,6,16,9,14,13,10,14,11,9,14,16,10,13,11,11,4,14,18,10,11,16,21,15,13,21,9,8,12,16,18,21,16,18,21,12,13,15,10,10,8,13,14,10,14,16,11,8,12,6,6,7,11,12,10,5,6,6,6,4,1,7,7,5,4,0,2,1,1,0,1,1,0,0,1,0,0,0
富士塚一丁目,フジヅカ1,女,1009,5,7,2,9,10,12,7,7,6,6,12,10,9,4,9,5,7,5,13,2,6,14,10,11,14,7,14,12,10,16,12,8,9,15,8,7,12,7,9,17,10,12,14,14,21,13,16,15,14,13,19,10,19,21,17,17,17,16,16,19,10,5,11,13,14,6,17,20,16,11,12,8,10,8,13,7,9,15,9,12,10,12,10,8,12,4,9,5,6,5,5,8,1,2,4,2,1,0,0,0,1
富士塚二丁目,フジヅカ2,男,1439,13,11,10,7,13,12,8,5,5,11,12,9,11,13,14,16,14,10,15,15,17,16,21,20,17,22,25,27,23,23,22,30,22,26,14,12,18,18,22,27,21,23,17,19,24,16,17,25,23,31,33,14,36,25,23,19,20,16,17,14,16,14,24,14,18,13,29,28,25,8,12,9,13,12,13,11,5,6,10,8,7,5,10,7,9,5,4,4,6,6,2,1,1,1,3,0,0,1,0,0,0
富士塚二丁目,フジヅカ2,女,1467,14,13,4,8,5,14,9,14,13,10,8,9,10,10,8,18,19,7,14,12,15,17,13,20,27,23,25,21,23,15,18,14,24,19,16,25,17,14,16,16,23,21,14,21,12,17,22,28,26,30,22,36,22,23,19,15,15,24,18,14,27,26,14,28,17,13,21,35,15,7,8,13,7,13,5,16,12,15,9,17,10,9,8,8,7,13,14,9,9,13,7,4,2,5,6,1,0,0,2,1,2
日吉一丁目,ヒヨシ1,男,1035,8,2,5,9,5,11,8,15,5,3,1,9,8,6,10,8,5,12,6,18,8,15,14,21,18,9,22,16,14,23,20,19,13,17,16,12,10,8,14,23,15,15,14,19,12,19,20,13,16,17,15,12,13,8,10,11,14,16,9,14,19,9,7,15,11,16,18,10,17,11,9,11,10,16,9,14,7,8,5,7,8,8,8,5,1,2,1,3,8,2,2,3,3,2,1,0,0,0,0,0,1
日吉一丁目,ヒヨシ1,女,1136,8,10,9,8,7,4,5,5,4,7,3,8,4,5,5,13,9,7,12,6,9,12,14,13,16,21,17,23,15,14,20,15,11,12,14,24,11,11,13,19,15,15,12,21,21,14,11,13,20,12,14,11,20,19,11,13,17,15,6,15,12,14,15,16,14,17,15,16,13,16,14,15,15,15,8,9,15,10,10,8,12,12,6,7,11,12,11,10,8,8,11,3,5,7,2,1,0,1,1,1,2
日吉二丁目,ヒヨシ2,男,1515,17,11,10,15,10,8,4,10,7,6,7,11,7,7,12,13,6,7,6,18,24,18,28,33,31,30,33,35,39,39,32,40,26,27,30,27,31,22,38,28,37,23,23,22,17,23,31,18,18,8,18,16,23,22,7,17,16,9,14,17,18,18,17,10,15,17,19,22,18,14,8,13,11,9,12,8,11,10,13,6,8,7,6,8,5,7,2,4,2,1,4,0,2,1,1,3,0,1,2,0,0
日吉二丁目,ヒヨシ2,女,1541,14,7,11,8,11,8,11,5,8,5,7,10,2,10,5,6,9,7,12,15,21,26,18,28,26,36,30,35,33,43,37,27,28,25,24,24,33,24,22,23,20,22,27,21,20,18,19,22,26,16,24,15,16,21,15,9,18,12,16,12,8,10,29,15,20,11,25,26,25,12,10,16,13,14,23,15,10,9,14,14,7,11,7,9,9,10,14,7,6,5,7,4,4,10,3,2,2,0,0,0,2
日吉三丁目,ヒヨシ3,男,1290,15,6,9,4,5,9,5,4,3,4,4,8,15,5,3,8,11,6,5,14,24,26,28,34,35,39,34,35,36,36,41,27,33,34,32,27,26,33,21,37,25,11,24,29,21,22,24,18,17,18,16,13,13,11,12,8,16,15,7,5,14,6,9,8,4,10,13,11,6,6,5,8,11,7,5,9,4,6,3,9,7,0,3,4,2,1,1,4,1,2,1,1,0,1,0,0,0,0,1,1,0
日吉三丁目,ヒヨシ3,女,1087,11,8,11,5,8,2,3,2,11,3,8,7,4,11,5,7,8,6,6,12,12,12,23,18,25,20,21,19,23,33,32,19,26,18,18,18,24,21,26,16,14,13,18,17,17,18,18,26,16,10,12,14,7,15,10,9,11,9,11,11,3,11,5,10,10,9,11,13,8,8,3,6,13,10,10,15,3,8,5,10,7,12,12,8,9,8,6,6,1,1,2,0,0,2,0,1,0,1,0,0,2
日吉四丁目,ヒヨシ4,男,985,9,9,6,8,5,5,8,1,3,2,3,3,7,5,9,5,7,8,4,10,17,35,21,21,26,32,25,25,26,29,25,30,27,12,24,17,12,20,18,12,15,11,16,17,16,17,20,15,11,9,14,13,13,10,5,9,19,11,6,6,6,5,6,5,17,7,6,8,3,5,8,12,6,5,1,7,7,5,4,2,4,4,3,5,2,7,1,4,3,0,0,2,0,0,0,1,0,0,0,0,0
日吉四丁目,ヒヨシ4,女,945,13,10,12,6,4,6,10,8,6,6,6,6,3,10,5,4,4,5,7,8,9,13,6,16,22,27,20,21,23,23,21,17,17,17,14,18,14,19,12,20,14,20,12,15,11,19,12,13,10,9,10,13,15,7,11,17,8,12,2,3,12,9,7,5,5,8,10,8,12,4,6,10,8,11,9,6,8,10,10,3,4,9,5,8,6,3,6,6,3,2,2,1,2,2,1,1,0,2,0,0,0
日吉五丁目,ヒヨシ5,男,2260,24,28,18,20,14,20,17,13,18,13,8,18,13,9,17,17,14,19,24,21,25,34,35,43,37,37,36,31,37,51,58,41,51,50,58,35,35,43,43,54,33,48,50,42,46,45,41,33,36,33,44,40,36,45,26,31,27,18,23,16,22,23,24,19,26,21,21,20,20,9,8,17,10,9,19,7,12,7,7,9,12,9,9,2,2,4,5,5,3,4,0,0,2,0,1,0,0,0,0,0,0
日吉五丁目,ヒヨシ5,女,2104,35,19,29,15,29,22,12,15,20,14,23,10,22,13,14,17,14,21,19,21,25,31,23,20,33,24,24,40,34,38,58,43,47,32,39,36,43,33,25,40,36,41,29,35,43,38,34,35,29,24,44,31,28,32,28,29,22,29,19,22,24,16,15,15,25,23,16,21,20,14,7,11,14,15,17,13,15,13,15,8,9,9,7,8,5,6,7,8,5,5,4,6,3,1,1,1,1,1,0,0,0
日吉六丁目,ヒヨシ6,男,1468,16,23,23,22,13,20,18,12,22,9,10,15,17,16,14,10,15,8,9,11,21,18,18,12,17,11,16,25,21,18,29,29,29,37,27,26,25,28,27,33,37,32,25,27,19,32,27,28,34,26,24,23,15,22,17,19,15,14,11,8,14,9,16,15,17,9,12,21,11,5,10,9,14,13,4,11,7,7,5,6,3,3,10,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日吉六丁目,ヒヨシ6,女,1387,18,12,16,19,21,12,18,17,12,13,11,17,14,11,12,9,17,17,9,14,11,13,13,10,14,10,24,15,20,22,23,38,33,27,29,19,33,21,22,28,26,28,24,25,31,27,20,20,20,27,25,20,21,15,10,14,23,13,9,10,15,11,13,7,8,11,13,12,13,10,9,7,15,6,11,10,13,11,10,6,6,8,6,6,5,3,1,6,2,4,0,1,1,2,1,0,0,0,1,0,1
日吉七丁目,ヒヨシ7,男,2242,35,22,28,23,23,21,21,18,16,12,15,19,15,11,16,15,9,13,13,23,29,26,30,42,28,40,27,26,35,40,45,39,40,33,39,50,40,53,47,49,40,41,46,43,47,44,40,42,35,36,32,40,35,30,25,30,25,23,23,20,19,19,35,23,17,15,17,18,28,12,17,23,19,19,13,12,13,15,7,13,10,11,13,10,3,3,3,2,3,1,2,1,1,1,1,0,0,0,0,0,0
日吉七丁目,ヒヨシ7,女,2134,31,33,23,22,17,19,13,22,21,13,14,19,9,13,13,13,9,16,18,17,30,11,23,24,23,30,23,28,38,32,30,32,54,41,35,56,43,29,39,57,45,44,37,39,38,42,27,36,27,19,30,24,24,23,16,30,29,16,21,18,25,27,20,21,18,27,21,24,27,22,12,22,27,25,20,19,15,11,14,22,20,8,8,6,8,6,8,6,1,7,5,2,2,4,1,2,1,0,1,0,1
日吉本町一丁目,ヒヨシホンチョウ1,男,1425,13,11,2,17,15,7,7,7,9,10,2,6,7,10,8,7,9,9,11,20,13,23,15,25,26,20,31,24,25,29,33,26,15,43,22,41,37,20,23,25,14,24,20,23,27,28,29,14,25,21,25,18,22,20,21,15,6,19,13,9,16,16,9,8,16,21,11,20,26,9,7,11,13,9,17,7,10,9,12,8,9,9,6,7,4,7,2,3,8,2,5,3,3,0,3,1,1,0,0,0,1
