町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
神奈川区合計,カナガワク_ゴウケイ,男,122014,892,935,885,925,913,944,965,970,914,935,919,955,913,959,935,942,862,960,975,1101,1228,1265,1459,1676,1870,1962,1962,1944,1898,1834,1749,1740,1716,1724,1705,1730,1803,1859,1752,1769,1727,1799,1804,1893,1950,1946,2046,2142,2235,2154,2076,2142,2169,2041,2138,1562,1954,1734,1603,1487,1435,1304,1288,1237,1196,1129,1140,1188,1190,1281,1287,1416,1499,1467,1337,804,856,971,904,915,832,725,606,603,531,505,412,361,319,268,223,197,157,111,87,61,43,36,16,13,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川区合計,カナガワク_ゴウケイ,女,119612,796,845,869,917,887,962,920,918,895,868,935,920,876,915,906,820,822,883,918,1009,1104,1234,1400,1610,1640,1686,1714,1683,1534,1596,1529,1603,1505,1491,1632,1619,1637,1672,1568,1602,1599,1665,1673,1757,1792,1770,1882,2102,2126,2022,2048,1846,1907,1804,1769,1421,1660,1496,1343,1300,1253,1254,1233,1156,1102,1124,1118,1086,1137,1258,1296,1482,1594,1568,1481,903,982,1214,1220,1169,1109,1067,879,829,859,865,837,714,664,573,536,439,392,322,240,220,155,108,71,63,42,31,17,9,11,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
青木町,アオキチョウ,男,881,11,11,6,9,5,2,6,6,4,4,3,3,3,2,2,2,6,3,2,4,6,10,7,16,24,28,33,31,36,22,24,18,20,29,21,22,23,14,23,19,12,20,14,11,22,10,14,17,14,11,11,11,18,10,19,7,8,9,13,9,4,8,6,6,4,2,5,1,3,4,1,8,5,13,1,0,2,1,1,3,2,2,0,4,3,1,1,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青木町,アオキチョウ,女,845,8,15,14,7,6,6,4,6,4,3,6,0,5,4,0,4,2,2,3,6,6,5,9,17,26,28,31,16,30,23,20,25,15,23,21,16,12,16,16,18,10,9,14,20,12,14,15,7,12,10,14,12,14,10,7,10,12,7,4,4,3,6,4,8,4,2,5,2,6,3,5,9,7,8,4,1,4,3,6,4,2,5,1,6,9,4,7,3,3,1,5,3,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭ケ丘,アサヒガオカ,男,760,6,4,6,4,5,4,4,6,5,6,5,5,4,5,7,7,6,8,15,1,5,5,11,13,15,9,15,17,18,16,7,9,7,10,8,13,9,13,9,13,9,9,11,8,9,12,11,13,12,9,8,17,7,16,20,10,14,7,14,7,6,7,7,7,14,8,14,6,12,10,6,8,12,10,3,3,4,5,8,8,4,5,6,3,4,5,5,1,4,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭ケ丘,アサヒガオカ,女,749,3,8,4,4,9,4,7,3,5,5,4,4,5,4,5,4,2,3,4,6,8,11,5,12,10,11,10,7,17,9,13,8,9,7,10,10,10,7,8,9,12,13,9,8,11,8,6,13,12,12,17,13,15,8,8,12,13,7,7,9,9,4,13,14,12,8,7,6,7,9,8,8,6,6,10,6,3,7,9,10,11,11,5,5,2,7,8,3,5,4,5,5,4,2,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千若町,チワカチョウ,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
千若町,チワカチョウ,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町１丁目,チワカチョウ1,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町１丁目,チワカチョウ1,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町３丁目,チワカチョウ3,男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 千若町３丁目,チワカチョウ3,女,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台町,ダイマチ,男,1171,5,9,6,4,10,12,10,9,6,6,11,4,7,4,5,6,6,8,4,5,6,5,13,13,19,19,21,19,28,22,33,26,19,22,17,20,16,25,25,22,21,22,13,22,23,27,24,20,29,24,23,29,26,22,22,16,29,21,17,17,22,12,13,12,8,11,8,5,4,4,6,7,14,8,9,5,2,6,8,7,1,5,1,3,2,2,0,1,3,1,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
