救い|すくい
馬小屋|うまごや
生まれ|うまれ
イエス|イェス
向こう|むこう
この身|このみ
主|ぬし|しゅ
憂い|うれい
祈り|いのり
祈れ|いのれ
静か|しずか
栄え|さかえ
立ち|たち
待て|まて
消え|きえ
激し|はげ
給え|たまえ
戦い|たたかい
喜|よろこ
力|ちから
輝|かがや
聖|せい|きよ
霊|たま|れい
神|かみ
君|きみ
愛|あい
歌|うた
今|いま
家|いえ
心|こころ
命|いのち
嵐|あらし
潮|しお
我|われ
罪|つみ
上|うえ
安|やす
暗|くら
山|やま
谷|たに
風|かぜ
迎|むか
声|こえ
陰|かげ
敵|てき
癒|いや
血|ち
御|み
南林間|みなみりんかん
  
